date,ticker,eps,wallstreet_estimates,fiscal_year,fiscal_quarter
2015-02-05,ATVI,0.94,0.882,2014,4
2014-11-04,ATVI,0.23,0.122,2014,3
2014-08-05,ATVI,0.06,0.016,2014,2
2014-05-06,ATVI,0.19,0.099,2014,1
2014-02-06,ATVI,0.79,0.728,2013,4
2013-11-06,ATVI,0.08,0.035,2013,3
2013-08-01,ATVI,0.08,0.068,2013,2
2013-05-08,ATVI,0.17,0.10800000000000001,2013,1
2013-02-07,ATVI,0.78,0.708,2012,4
2012-11-07,ATVI,0.15,0.08,2012,3
2012-08-02,ATVI,0.2,0.12,2012,2
2012-05-09,ATVI,0.06,0.04,2012,1
2012-02-09,ATVI,0.62,0.55,2011,4
2011-11-08,ATVI,0.07,0.02,2011,3
2011-08-03,ATVI,0.1,0.05,2011,2
2011-05-09,ATVI,0.13,0.08,2011,1
2011-02-09,ATVI,0.53,0.51,2010,4
2010-11-04,ATVI,0.12,0.09,2010,3
2010-08-05,ATVI,0.06,0.05,2010,2
2010-05-06,ATVI,0.09,0.04,2010,1
2010-02-10,ATVI,0.49,0.44,2009,4
2009-11-05,ATVI,0.04,0.04,2009,3
2009-08-05,ATVI,0.08,0.07,2009,2
2009-03-01,ATVI,0.08,0.04,2009,1
2008-12-01,ATVI,0.31,0.29,2008,4
2008-09-01,ATVI,0.07,0.04,2008,3
2008-03-01,ATVI,0.15,0.0,2008,1
2006-12-01,ATVI,0.14,0.21,2007,3
2006-09-01,ATVI,0.08,0.0,2007,2
2006-06-01,ATVI,0.0,0.0,2007,1
2006-03-01,ATVI,0.0,0.0,2006,4
2005-12-01,ATVI,0.115,0.17800000000000002,2006,3
2005-09-01,ATVI,0.0,0.0,2006,2
2005-06-01,ATVI,0.0,0.0,2006,1
2005-03-01,ATVI,0.008,0.004,2005,4
2004-12-01,ATVI,0.177,0.155,2005,3
2004-09-01,ATVI,0.048,0.025,2005,2
2004-06-01,ATVI,0.023,0.013999999999999999,2005,1
2004-03-01,ATVI,0.011000000000000001,0.003,2004,4
2003-12-01,ATVI,0.14800000000000002,0.126,2004,3
2003-09-01,ATVI,0.0,0.0,2004,2
2003-06-01,ATVI,0.008,0.0,2004,1
2003-03-01,ATVI,0.0,0.0,2003,4
2002-12-01,ATVI,0.079,0.07400000000000001,2003,3
2002-09-01,ATVI,0.016,0.013000000000000001,2003,2
2002-06-01,ATVI,0.039,0.023,2003,1
2002-03-01,ATVI,0.021,0.013999999999999999,2002,4
2001-12-01,ATVI,0.083,0.073,2002,3
2001-09-01,ATVI,0.005,0.001,2002,2
2001-06-01,ATVI,0.0,0.0,2002,1
2001-03-01,ATVI,0.003,0.001,2001,4
2000-12-01,ATVI,0.057999999999999996,0.05,2001,3
2000-09-01,ATVI,0.013999999999999999,0.008,2001,2
2000-06-01,ATVI,0.0,0.0,2001,1
2000-03-01,ATVI,0.008,0.0,2000,4
1999-12-01,ATVI,0.063,0.0,2000,3
1999-09-01,ATVI,0.003,0.0,2000,2
1999-06-01,ATVI,0.0,0.0,2000,1
