date,ticker,eps,wallstreet_estimates,fiscal_year,fiscal_quarter
2014-05-15,CA,0.61,0.604,2014,4
2014-01-21,CA,0.84,0.718,2014,3
2013-10-24,CA,0.86,0.716,2014,2
2013-07-24,CA,0.78,0.7340000000000001,2014,1
2013-05-07,CA,0.68,0.562,2013,4
2013-01-22,CA,0.63,0.61,2013,3
2012-10-25,CA,0.59,0.59,2013,2
2012-07-26,CA,0.63,0.61,2013,1
2012-05-10,CA,0.56,0.52,2012,4
2012-01-24,CA,0.65,0.54,2012,3
2011-10-26,CA,0.51,0.49,2012,2
2011-07-20,CA,0.55,0.51,2012,1
2011-05-12,CA,0.48,0.5,2011,4
2011-01-25,CA,0.5,0.49,2011,3
2010-10-21,CA,0.48,0.47,2011,2
2010-07-21,CA,0.45,0.42,2011,1
2010-03-01,CA,0.37,0.34,2010,4
2009-12-01,CA,0.46,0.43,2010,3
2009-09-01,CA,0.45,0.42,2010,2
2009-06-01,CA,0.44,0.42,2010,1
2009-03-01,CA,0.31,0.29,2009,4
2008-12-01,CA,0.43,0.43,2009,3
2008-09-01,CA,0.4,0.42,2009,2
2008-06-01,CA,0.4,0.42,2009,1
2008-03-01,CA,0.22,0.29,2008,4
2007-12-01,CA,0.36,0.245,2008,3
2007-09-01,CA,0.32,0.25,2008,2
2007-06-01,CA,0.29,0.235,2008,1
2007-03-01,CA,0.2,0.19,2007,4
2006-12-01,CA,0.24,0.215,2007,3
2006-09-01,CA,0.25,0.2,2007,2
2006-06-01,CA,0.17,0.13,2007,1
2006-03-01,CA,0.14,0.14,2006,4
2005-12-01,CA,0.24,0.24,2006,3
2005-09-01,CA,0.24,0.24,2006,2
2005-06-01,CA,0.22,0.22,2006,1
2005-03-01,CA,0.2,0.2,2005,4
2004-12-01,CA,0.19,0.19,2005,3
2004-09-01,CA,0.18,0.16,2005,2
2004-06-01,CA,0.21,0.18,2005,1
2004-03-01,CA,0.18,0.17,2004,4
2003-12-01,CA,0.16,0.15,2004,3
2003-09-01,CA,0.14,0.14,2004,2
2003-06-01,CA,0.14,0.09,2004,1
2003-03-01,CA,0.08,0.06,2003,4
2002-12-01,CA,0.05,0.04,2003,3
2002-09-01,CA,0.04,0.02,2003,2
2002-06-01,CA,0.02,0.0,2003,1
2002-03-01,CA,0.0,0.0,2002,4
2001-12-01,CA,0.71,0.61,2002,3
2001-09-01,CA,0.61,0.53,2002,2
2001-06-01,CA,0.55,0.48,2002,1
2001-03-01,CA,0.47,0.47,2001,4
2000-12-01,CA,0.42,0.4,2001,3
2000-09-01,CA,0.54,0.525,2001,2
2000-06-01,CA,0.14,0.14,2001,1
2000-03-01,CA,1.13,1.13,2000,4
1999-12-01,CA,0.91,0.76,2000,3
1999-09-01,CA,0.75,0.745,2000,2
1999-06-01,CA,0.49,0.39,2000,1
