date,ticker,eps,wallstreet_estimates,fiscal_year,fiscal_quarter
2014-08-13,CSCO,0.55,0.527,2014,4
2014-05-14,CSCO,0.51,0.47700000000000004,2014,3
2014-02-12,CSCO,0.47,0.45799999999999996,2014,2
2013-11-13,CSCO,0.53,0.502,2014,1
2013-08-14,CSCO,0.52,0.513,2013,4
2013-05-15,CSCO,0.51,0.491,2013,3
2013-02-13,CSCO,0.51,0.479,2013,2
2012-11-13,CSCO,0.48,0.46,2013,1
2012-08-15,CSCO,0.47,0.46,2012,4
2012-05-09,CSCO,0.48,0.47,2012,3
2012-02-08,CSCO,0.47,0.43,2012,2
2011-11-09,CSCO,0.43,0.39,2012,1
2011-08-10,CSCO,0.4,0.38,2011,4
2011-05-11,CSCO,0.42,0.37,2011,3
2011-02-09,CSCO,0.37,0.35,2011,2
2010-10-01,CSCO,0.42,0.4,2011,1
2010-07-01,CSCO,0.43,0.43,2010,4
2010-04-01,CSCO,0.42,0.42,2010,3
2010-01-01,CSCO,0.4,0.4,2010,2
2009-10-01,CSCO,0.36,0.36,2010,1
2009-07-01,CSCO,0.31,0.289,2009,4
2009-04-01,CSCO,0.3,0.25,2009,3
2009-01-01,CSCO,0.32,0.3,2009,2
2008-10-01,CSCO,0.42,0.36,2009,1
2008-07-01,CSCO,0.42,0.39,2008,4
2008-04-01,CSCO,0.38,0.36,2008,3
2008-01-01,CSCO,0.38,0.38,2008,2
2007-10-01,CSCO,0.4,0.36,2008,1
2007-07-01,CSCO,0.36,0.35,2007,4
2007-04-01,CSCO,0.34,0.33,2007,3
2007-01-01,CSCO,0.33,0.31,2007,2
2006-10-01,CSCO,0.31,0.29,2007,1
2006-07-01,CSCO,0.3,0.28,2006,4
2006-04-01,CSCO,0.29,0.26,2006,3
2006-01-01,CSCO,0.26,0.25,2006,2
2005-10-01,CSCO,0.25,0.24,2006,1
2005-07-01,CSCO,0.25,0.25,2005,4
2005-04-01,CSCO,0.23,0.22,2005,3
2005-01-01,CSCO,0.22,0.22,2005,2
2004-10-01,CSCO,0.21,0.21,2005,1
2004-07-01,CSCO,0.21,0.2,2004,4
2004-04-01,CSCO,0.19,0.18,2004,3
2004-01-01,CSCO,0.18,0.17,2004,2
2003-10-01,CSCO,0.17,0.15,2004,1
2003-07-01,CSCO,0.15,0.15,2003,4
2003-04-01,CSCO,0.15,0.14,2003,3
2003-01-01,CSCO,0.15,0.13,2003,2
2002-10-01,CSCO,0.14,0.13,2003,1
2002-07-01,CSCO,0.14,0.12,2002,4
2002-04-01,CSCO,0.11,0.09,2002,3
2002-01-01,CSCO,0.09,0.05,2002,2
2001-10-01,CSCO,0.04,0.02,2002,1
2001-07-01,CSCO,0.02,0.02,2001,4
2001-04-01,CSCO,0.03,0.01,2001,3
2001-01-01,CSCO,0.18,0.19,2001,2
2000-10-01,CSCO,0.18,0.17,2001,1
2000-07-01,CSCO,0.16,0.15,2000,4
2000-04-01,CSCO,0.14,0.135,2000,3
2000-01-01,CSCO,0.12,0.125,2000,2
1999-10-01,CSCO,0.11,0.12,2000,1
