date,ticker,eps,wallstreet_estimates,fiscal_year,fiscal_quarter
2015-02-04,CTSH,0.67,0.647,2014,4
2014-11-05,CTSH,0.66,0.5870000000000001,2014,3
2014-08-06,CTSH,0.61,0.58,2014,2
2014-05-07,CTSH,0.57,0.562,2014,1
2014-02-05,CTSH,0.53,0.53,2013,4
2013-11-05,CTSH,0.53,0.5,2013,3
2013-08-06,CTSH,0.5,0.49,2013,2
2013-05-08,CTSH,0.47,0.46,2013,1
2013-02-07,CTSH,0.46,0.46,2012,4
2012-11-07,CTSH,0.46,0.44,2012,3
2012-08-06,CTSH,0.41,0.4,2012,2
2012-05-07,CTSH,0.4,0.4,2012,1
2012-02-08,CTSH,0.39,0.39,2011,4
2011-11-02,CTSH,0.37,0.36,2011,3
2011-08-02,CTSH,0.34,0.33,2011,2
2011-05-03,CTSH,0.36,0.32,2011,1
2011-02-07,CTSH,0.35,0.33,2010,4
2010-11-01,CTSH,0.35,0.3,2010,3
2010-08-03,CTSH,0.3,0.26,2010,2
2010-05-04,CTSH,0.27,0.24,2010,1
2009-12-01,CTSH,0.25,0.0,2009,4
2009-09-01,CTSH,0.24,0.0,2009,3
2009-06-01,CTSH,0.25,0.19,2009,2
2009-03-01,CTSH,0.21,0.19,2009,1
2008-12-01,CTSH,0.21,0.19,2008,4
2008-09-01,CTSH,0.2,0.19,2008,3
2008-06-01,CTSH,0.2,0.18,2008,2
2008-03-01,CTSH,0.19,0.16,2008,1
2007-12-01,CTSH,0.18,0.16,2007,4
2007-09-01,CTSH,0.17,0.14,2007,3
2007-06-01,CTSH,0.15,0.13,2007,2
2007-03-01,CTSH,0.13,0.12,2007,1
2006-12-01,CTSH,0.12,0.11,2006,4
2006-09-01,CTSH,0.1,0.1,2006,3
2006-06-01,CTSH,0.09,0.08,2006,2
2006-03-01,CTSH,0.08,0.07,2006,1
2005-12-01,CTSH,0.08,0.07,2005,4
2005-09-01,CTSH,0.07,0.07,2005,3
2005-06-01,CTSH,0.06,0.06,2005,2
2005-03-01,CTSH,0.06,0.05,2005,1
2004-12-01,CTSH,0.05,0.05,2004,4
2004-09-01,CTSH,0.05,0.05,2004,3
2004-06-01,CTSH,0.04,0.04,2004,2
2004-03-01,CTSH,0.04,0.03,2004,1
2003-12-01,CTSH,0.03,0.03,2003,4
2003-09-01,CTSH,0.03,0.03,2003,3
2003-06-01,CTSH,0.03,0.02,2003,2
2003-03-01,CTSH,0.02,0.02,2003,1
2002-12-01,CTSH,0.02,0.02,2002,4
2002-09-01,CTSH,0.02,0.02,2002,3
2002-06-01,CTSH,0.02,0.02,2002,2
2002-03-01,CTSH,0.01,0.01,2002,1
2001-12-01,CTSH,0.01,0.01,2001,4
2001-09-01,CTSH,0.01,0.01,2001,3
2001-06-01,CTSH,0.01,0.01,2001,2
2001-03-01,CTSH,0.01,0.01,2001,1
2000-12-01,CTSH,0.01,0.01,2000,4
2000-09-01,CTSH,0.01,0.01,2000,3
2000-06-01,CTSH,0.01,0.0,2000,2
2000-03-01,CTSH,0.014,0.0,2000,1
