date,ticker,eps,wallstreet_estimates,fiscal_year,fiscal_quarter
2015-01-28,CTXS,1.1,1.035,2014,4
2014-10-22,CTXS,0.75,0.726,2014,3
2014-07-23,CTXS,0.78,0.605,2014,2
2014-04-23,CTXS,0.64,0.584,2014,1
2014-01-29,CTXS,1.04,0.977,2013,4
2013-10-23,CTXS,0.7,0.6940000000000001,2013,3
2013-07-24,CTXS,0.66,0.627,2013,2
2013-04-24,CTXS,0.62,0.631,2013,1
2013-01-30,CTXS,0.9,0.84,2012,4
2012-10-24,CTXS,0.68,0.65,2012,3
2012-07-25,CTXS,0.71,0.59,2012,2
2012-04-25,CTXS,0.59,0.51,2012,1
2012-01-25,CTXS,0.78,0.76,2011,4
2011-10-27,CTXS,0.64,0.58,2011,3
2011-06-01,CTXS,0.57,0.55,2011,2
2011-03-01,CTXS,0.5,0.42,2011,1
2010-12-01,CTXS,0.65,0.6,2010,4
2010-09-01,CTXS,0.62,0.49,2010,3
2010-06-01,CTXS,0.41,0.45,2010,2
2010-03-01,CTXS,0.4,0.4,2010,1
2009-12-01,CTXS,0.66,0.51,2009,4
2009-09-01,CTXS,0.43,0.41,2009,3
2009-06-01,CTXS,0.39,0.38,2009,2
2009-03-01,CTXS,0.32,0.31,2009,1
2008-12-01,CTXS,0.48,0.47,2008,4
2008-09-01,CTXS,0.43,0.37,2008,3
2008-06-01,CTXS,0.38,0.36,2008,2
2008-03-01,CTXS,0.35,0.34,2008,1
2007-12-01,CTXS,0.49,0.43,2007,4
2007-09-01,CTXS,0.41,0.38,2007,3
2007-06-01,CTXS,0.38,0.37,2007,2
2007-03-01,CTXS,0.31,0.35,2007,1
2006-12-01,CTXS,0.39,0.38,2006,4
2006-09-01,CTXS,0.34,0.33,2006,3
2006-06-01,CTXS,0.33,0.33,2006,2
2006-03-01,CTXS,0.33,0.28,2006,1
2005-12-01,CTXS,0.36,0.317,2005,4
2005-09-01,CTXS,0.29,0.25,2005,3
2005-06-01,CTXS,0.27,0.25,2005,2
2005-03-01,CTXS,0.24,0.23,2005,1
2004-12-01,CTXS,0.29,0.27,2004,4
2004-09-01,CTXS,0.24,0.2,2004,3
2004-06-01,CTXS,0.18,0.18,2004,2
2004-03-01,CTXS,0.19,0.18,2004,1
2003-12-01,CTXS,0.22,0.19,2003,4
2003-09-01,CTXS,0.19,0.17,2003,3
2003-06-01,CTXS,0.18,0.16,2003,2
2003-03-01,CTXS,0.19,0.12,2003,1
2002-12-01,CTXS,0.23,0.15,2002,4
2002-09-01,CTXS,0.1,0.06,2002,3
2002-06-01,CTXS,0.06,0.06,2002,2
2002-03-01,CTXS,0.16,0.15,2002,1
2001-12-01,CTXS,0.21,0.2,2001,4
2001-09-01,CTXS,0.21,0.19,2001,3
2001-06-01,CTXS,0.19,0.17,2001,2
2001-03-01,CTXS,0.17,0.165,2001,1
2000-12-01,CTXS,0.16,0.15,2000,4
2000-09-01,CTXS,0.14,0.12,2000,3
2000-06-01,CTXS,0.1,0.1,2000,2
2000-03-01,CTXS,0.21,0.2,2000,1
