date,ticker,eps,wallstreet_estimates,fiscal_year,fiscal_quarter
2015-02-06,FLIR,0.52,0.486,2014,4
2014-10-24,FLIR,0.39,0.349,2014,3
2014-07-24,FLIR,0.31,0.345,2014,2
2014-04-25,FLIR,0.25,0.258,2014,1
2014-02-07,FLIR,0.2,0.365,2013,4
2013-10-24,FLIR,0.32,0.329,2013,3
2013-07-25,FLIR,0.35,0.3670000000000001,2013,2
2013-04-26,FLIR,0.35,0.344,2013,1
2013-02-07,FLIR,0.52,0.494,2012,4
2012-10-25,FLIR,0.37,0.35,2012,3
2012-07-26,FLIR,0.31,0.28,2012,2
2012-04-27,FLIR,0.31,0.33,2012,1
2012-02-10,FLIR,0.49,0.45,2011,4
2011-10-20,FLIR,0.42,0.36,2011,3
2011-07-22,FLIR,0.36,0.34,2011,2
2011-04-29,FLIR,0.32,0.36,2011,1
2011-02-09,FLIR,0.43,0.44,2010,4
2010-10-21,FLIR,0.39,0.38,2010,3
2010-07-22,FLIR,0.37,0.35,2010,2
2010-04-23,FLIR,0.35,0.34,2010,1
2010-02-11,FLIR,0.38,0.39,2009,4
2009-10-21,FLIR,0.38,0.35,2009,3
2009-07-23,FLIR,0.35,0.35100000000000003,2009,2
2009-03-01,FLIR,0.35,0.3,2009,1
2008-12-01,FLIR,0.41,0.38,2008,4
2008-09-01,FLIR,0.35,0.315,2008,3
2008-06-01,FLIR,0.29,0.27,2008,2
2008-03-01,FLIR,0.24,0.22,2008,1
2007-12-01,FLIR,0.3,0.29,2007,4
2007-09-01,FLIR,0.22,0.195,2007,3
2007-06-01,FLIR,0.19,0.18,2007,2
2007-03-01,FLIR,0.175,0.145,2007,1
2006-12-01,FLIR,0.265,0.25,2006,4
2006-09-01,FLIR,0.15,0.14800000000000002,2006,3
2006-06-01,FLIR,0.14,0.14,2006,2
2006-03-01,FLIR,0.085,0.085,2006,1
2005-12-01,FLIR,0.215,0.205,2005,4
2005-09-01,FLIR,0.11,0.11,2005,3
2005-06-01,FLIR,0.155,0.135,2005,2
2005-03-01,FLIR,0.095,0.095,2005,1
2004-12-01,FLIR,0.155,0.145,2004,4
2004-09-01,FLIR,0.11,0.115,2004,3
2004-06-01,FLIR,0.125,0.098,2004,2
2004-03-01,FLIR,0.09,0.078,2004,1
2003-12-01,FLIR,0.11,0.1,2003,4
2003-09-01,FLIR,0.08,0.075,2003,3
2003-06-01,FLIR,0.068,0.075,2003,2
2003-03-01,FLIR,0.064,0.065,2003,1
2002-12-01,FLIR,0.08900000000000001,0.085,2002,4
2002-09-01,FLIR,0.075,0.064,2002,3
2002-06-01,FLIR,0.068,0.068,2002,2
2002-03-01,FLIR,0.061,0.059,2002,1
2001-12-01,FLIR,0.076,0.062,2001,4
2001-09-01,FLIR,0.048,0.0,2001,3
2001-06-01,FLIR,0.045,0.0,2001,2
2001-03-01,FLIR,0.034,0.0,2001,1
2000-12-01,FLIR,0.023,0.0,2000,4
2000-09-01,FLIR,0.0,0.0,2000,3
2000-06-01,FLIR,0.0,0.0,2000,2
2000-03-01,FLIR,0.0,0.0,2000,1
