date,ticker,eps,wallstreet_estimates,fiscal_year,fiscal_quarter
2015-02-19,FTR,0.04,0.048,2014,4
2014-11-03,FTR,0.05,0.036000000000000004,2014,3
2014-08-05,FTR,0.05,0.047,2014,2
2014-05-06,FTR,0.05,0.06,2014,1
2014-02-24,FTR,0.07,0.065,2013,4
2013-11-05,FTR,0.06,0.058,2013,3
2013-08-07,FTR,0.06,0.055,2013,2
2013-05-06,FTR,0.05,0.059,2013,1
2013-02-21,FTR,0.06,0.067,2012,4
2012-11-06,FTR,0.07,0.07,2012,3
2012-07-31,FTR,0.08,0.04,2012,2
2012-05-07,FTR,0.05,0.06,2012,1
2012-02-23,FTR,0.07,0.05,2011,4
2011-11-03,FTR,0.05,0.18,2011,3
2011-08-03,FTR,0.06,0.16,2011,2
2011-05-05,FTR,0.06,0.13,2011,1
2011-02-23,FTR,0.05,0.09,2010,4
2010-11-08,FTR,0.09,0.11,2010,3
2010-08-04,FTR,0.19,0.07,2010,2
2010-05-06,FTR,0.16,0.04,2010,1
2010-02-24,FTR,0.15,0.157,2009,4
2009-09-01,FTR,0.18,0.16,2009,3
2009-06-01,FTR,0.11,0.12,2009,2
2009-03-01,FTR,0.12,0.135,2009,1
2008-12-01,FTR,0.11,0.15,2008,4
2008-09-01,FTR,0.15,0.16,2008,3
2008-06-01,FTR,0.15,0.16,2008,2
2008-03-01,FTR,0.14,0.16,2008,1
2007-12-01,FTR,0.18,0.16,2007,4
2007-09-01,FTR,0.16,0.16,2007,3
2007-06-01,FTR,0.12,0.17,2007,2
2007-03-01,FTR,0.13,0.15,2007,1
2006-12-01,FTR,0.2,0.16,2006,4
2006-09-01,FTR,0.16,0.17,2006,3
2006-06-01,FTR,0.17,0.15,2006,2
2006-03-01,FTR,0.14,0.14,2006,1
2005-12-01,FTR,0.18,0.138,2005,4
2005-09-01,FTR,0.12,0.12,2005,3
2005-06-01,FTR,0.13,0.12,2005,2
2005-03-01,FTR,0.12,0.12,2005,1
2004-12-01,FTR,0.14,0.12,2004,4
2004-09-01,FTR,0.16,0.1,2004,3
2004-06-01,FTR,0.11,0.1,2004,2
2004-03-01,FTR,0.11,0.106,2004,1
