date,ticker,eps,wallstreet_estimates,fiscal_year,fiscal_quarter
2015-01-29,GOOGL,6.88,7.132999999999999,2014,4
2014-10-16,GOOGL,6.35,6.464,2014,3
2014-07-17,GOOGL,6.08,6.229,2014,2
2014-04-16,GOOGL,6.27,6.19,2014,1
2014-01-30,GOOGL,6.01,6.19,2013,4
2013-10-17,GOOGL,5.37,5.17,2013,3
2013-07-18,GOOGL,4.78,5.4,2013,2
2013-04-18,GOOGL,5.79,5.31,2013,1
2013-01-22,GOOGL,5.33,5.29,2012,4
2012-10-18,GOOGL,4.51,5.33,2012,3
2012-07-19,GOOGL,5.06,5.02,2012,2
2012-04-12,GOOGL,5.04,4.83,2012,1
2012-01-19,GOOGL,4.75,5.25,2011,4
2011-10-13,GOOGL,4.86,4.37,2011,3
2011-06-01,GOOGL,4.37,3.93,2011,2
2011-03-01,GOOGL,4.04,4.07,2011,1
2010-12-01,GOOGL,4.38,4.05,2010,4
2010-09-01,GOOGL,3.82,3.35,2010,3
2010-06-01,GOOGL,3.23,3.26,2010,2
2010-03-01,GOOGL,3.38,3.3,2010,1
2009-12-01,GOOGL,3.4,3.26,2009,4
2009-09-01,GOOGL,2.95,2.72,2009,3
2009-06-01,GOOGL,2.68,2.54,2009,2
2009-03-01,GOOGL,2.58,2.46,2009,1
2008-12-01,GOOGL,2.55,2.49,2008,4
2008-09-01,GOOGL,2.55,2.37,2008,3
2008-06-01,GOOGL,2.46,2.35,2008,2
2008-03-01,GOOGL,2.42,2.26,2008,1
2007-12-01,GOOGL,2.22,2.24,2007,4
2007-09-01,GOOGL,1.96,1.89,2007,3
2007-06-01,GOOGL,1.78,1.8,2007,2
2007-03-01,GOOGL,1.84,1.65,2007,1
2006-12-01,GOOGL,1.59,1.46,2006,4
2006-09-01,GOOGL,1.31,1.2,2006,3
2006-06-01,GOOGL,1.25,1.11,2006,2
2006-03-01,GOOGL,1.15,1.0,2006,1
2005-12-01,GOOGL,0.77,0.89,2005,4
2005-09-01,GOOGL,0.76,0.68,2005,3
2005-06-01,GOOGL,0.68,0.61,2005,2
2005-03-01,GOOGL,0.65,0.46,2005,1
2004-12-01,GOOGL,0.46,0.39,2004,4
2004-09-01,GOOGL,0.35,0.28,2004,3
2004-06-01,GOOGL,0.29,0.0,2004,2
2004-03-01,GOOGL,0.24,0.0,2004,1
