date,ticker,eps,wallstreet_estimates,fiscal_year,fiscal_quarter
2014-08-21,INTU,-0.01,0.073,2014,4
2014-05-20,INTU,3.53,3.495,2014,3
2014-02-20,INTU,0.02,0.153,2014,2
2013-11-21,INTU,-0.06,-0.091,2014,1
2013-08-20,INTU,0.0,0.028,2013,4
2013-05-21,INTU,2.97,2.949,2013,3
2013-02-21,INTU,0.33,0.425,2013,2
2012-11-15,INTU,-0.03,-0.06,2013,1
2012-08-21,INTU,0.06,0.06,2012,4
2012-05-17,INTU,2.51,2.48,2012,3
2012-02-21,INTU,0.51,0.45,2012,2
2011-11-17,INTU,-0.1,-0.12,2012,1
2011-08-18,INTU,0.02,0.0,2011,4
2011-05-19,INTU,2.33,2.27,2011,3
2011-02-17,INTU,0.32,0.3,2011,2
2010-11-18,INTU,-0.08,-0.12,2011,1
2010-08-19,INTU,-0.05,-0.05,2010,4
2010-05-20,INTU,1.89,1.89,2010,3
2010-02-18,INTU,0.38,0.38,2010,2
2009-10-01,INTU,-0.1,-0.1,2010,1
2009-07-01,INTU,-0.1,0.0,2009,4
2009-04-01,INTU,1.68,1.605,2009,3
2009-01-01,INTU,0.34,0.265,2009,2
2008-10-01,INTU,-0.09,-0.1,2009,1
2008-07-01,INTU,-0.08,0.0,2008,4
2008-04-01,INTU,-0.08,1.33,2008,3
2008-01-01,INTU,1.39,0.36,2008,2
2007-10-01,INTU,-0.1,0.0,2008,1
2007-07-01,INTU,-0.02,0.0,2007,4
2007-04-01,INTU,1.13,1.07,2007,3
2007-01-01,INTU,0.45,0.42,2007,2
2006-10-01,INTU,0.0,0.0,2007,1
2006-07-01,INTU,0.0,0.0,2006,4
2006-04-01,INTU,0.855,0.845,2006,3
2006-01-01,INTU,0.485,0.475,2006,2
2005-10-01,INTU,0.0,0.0,2006,1
2005-07-01,INTU,0.0,0.0,2005,4
2005-04-01,INTU,0.775,0.775,2005,3
2005-01-01,INTU,0.41,0.38,2005,2
2004-10-01,INTU,0.0,0.0,2005,1
2004-07-01,INTU,0.0,0.0,2004,4
2004-04-01,INTU,0.6,0.58,2004,3
2004-01-01,INTU,0.385,0.349,2004,2
2003-10-01,INTU,0.0,0.0,2004,1
2003-07-01,INTU,0.0,0.0,2003,4
2003-04-01,INTU,0.525,0.51,2003,3
2003-01-01,INTU,0.305,0.285,2003,2
2002-10-01,INTU,0.0,0.0,2003,1
2002-07-01,INTU,0.0,0.0,2002,4
2002-04-01,INTU,0.375,0.36,2002,3
2002-01-01,INTU,0.305,0.285,2002,2
2001-10-01,INTU,0.0,0.0,2002,1
2001-07-01,INTU,0.0,0.0,2001,4
2001-04-01,INTU,0.275,0.265,2001,3
2001-01-01,INTU,0.24,0.225,2001,2
2000-10-01,INTU,0.0,0.0,2001,1
2000-07-01,INTU,0.0,0.0,2000,4
2000-04-01,INTU,0.18,0.165,2000,3
2000-01-01,INTU,0.22,0.22,2000,2
1999-10-01,INTU,0.0,0.0,2000,1
