date,ticker,eps,wallstreet_estimates,fiscal_year,fiscal_quarter
2014-07-30,LRCX,1.25,1.221,2014,4
2014-04-23,LRCX,1.26,1.16,2014,3
2014-01-29,LRCX,1.1,1.027,2014,2
2013-10-23,LRCX,0.81,0.7090000000000001,2014,1
2013-07-31,LRCX,0.8,0.725,2013,4
2013-04-24,LRCX,0.44,0.378,2013,3
2013-01-23,LRCX,0.45,0.45,2013,2
2012-10-17,LRCX,0.53,0.41,2013,1
2012-07-25,LRCX,0.6,0.63,2012,4
2012-04-18,LRCX,0.5,0.45,2012,3
2012-01-25,LRCX,0.34,0.3,2012,2
2011-10-19,LRCX,0.63,0.65,2012,1
2011-07-27,LRCX,1.14,1.09,2011,4
2011-04-20,LRCX,1.45,1.36,2011,3
2011-01-26,LRCX,1.74,1.57,2011,2
2010-10-20,LRCX,1.52,1.38,2011,1
2010-07-28,LRCX,1.17,1.17,2010,4
2010-04-21,LRCX,0.94,0.94,2010,3
2010-01-27,LRCX,0.47,0.47,2010,2
2009-09-01,LRCX,0.03,0.03,2010,1
2009-06-01,LRCX,-0.45,0.0,2009,4
2009-03-01,LRCX,-0.71,0.0,2009,3
2008-12-01,LRCX,-0.09,0.47,2009,2
2008-09-01,LRCX,0.26,0.03,2009,1
2008-06-01,LRCX,0.6,0.39,2008,4
2008-03-01,LRCX,0.87,0.91,2008,3
2007-12-01,LRCX,0.94,1.03,2008,2
2007-09-01,LRCX,1.18,1.295,2008,1
2007-06-01,LRCX,1.26,1.27,2007,4
2007-03-01,LRCX,1.15,1.06,2007,3
2006-12-01,LRCX,1.15,1.1,2007,2
2006-09-01,LRCX,1.13,1.02,2007,1
2006-06-01,LRCX,0.96,0.83,2006,4
2006-03-01,LRCX,0.65,0.61,2006,3
2005-12-01,LRCX,0.55,0.38,2006,2
2005-09-01,LRCX,0.35,0.3,2006,1
2005-06-01,LRCX,0.47,0.43,2005,4
2005-03-01,LRCX,0.44,0.43,2005,3
2004-12-01,LRCX,0.59,0.53,2005,2
2004-09-01,LRCX,0.64,0.58,2005,1
2004-06-01,LRCX,0.37,0.25,2004,4
2004-03-01,LRCX,0.14,0.1,2004,3
2003-12-01,LRCX,0.07,0.05,2004,2
2003-09-01,LRCX,0.04,0.03,2004,1
2003-06-01,LRCX,0.02,0.02,2003,4
2003-03-01,LRCX,0.03,0.0,2003,3
2002-12-01,LRCX,0.02,0.0,2003,2
2002-09-01,LRCX,0.02,0.01,2003,1
2002-06-01,LRCX,0.0,0.0,2002,4
2002-03-01,LRCX,0.0,0.0,2002,3
2001-12-01,LRCX,0.03,0.0,2002,2
2001-09-01,LRCX,0.21,0.16,2002,1
2001-06-01,LRCX,0.28,0.15,2001,4
2001-03-01,LRCX,0.33,0.36,2001,3
2000-12-01,LRCX,0.58,0.53,2001,2
2000-09-01,LRCX,0.48,0.43,2001,1
2000-06-01,LRCX,0.45,0.43,2000,4
2000-03-01,LRCX,0.37,0.365,2000,3
1999-12-01,LRCX,0.33,0.24,2000,2
1999-09-01,LRCX,0.19,0.17,2000,1
