date,ticker,eps,wallstreet_estimates,fiscal_year,fiscal_quarter
2014-09-25,MU,0.82,0.82,2014,4
2014-06-23,MU,0.79,0.716,2014,3
2014-04-03,MU,0.85,0.613,2014,2
2014-01-07,MU,0.77,0.428,2014,1
2013-10-10,MU,0.29,0.228,2013,4
2013-06-19,MU,0.04,0.026,2013,3
2013-03-21,MU,-0.28,-0.187,2013,2
2012-12-20,MU,-0.27,-0.19,2013,1
2012-09-27,MU,-0.24,-0.22,2012,4
2012-06-20,MU,-0.37,-0.19,2012,3
2012-03-22,MU,-0.29,-0.18,2012,2
2011-12-21,MU,-0.2,-0.08,2012,1
2011-09-29,MU,-0.14,0.01,2011,4
2011-06-23,MU,0.09,0.16,2011,3
2011-03-23,MU,0.07,0.02,2011,2
2010-12-22,MU,0.15,0.28,2011,1
2010-08-01,MU,0.32,0.32,2010,4
2010-05-01,MU,0.43,0.92,2010,3
2010-02-01,MU,0.39,0.39,2010,2
2009-11-01,MU,0.23,0.23,2010,1
2009-08-01,MU,-0.12,0.0,2009,4
2009-05-01,MU,-0.37,0.0,2009,3
2009-02-01,MU,-0.99,0.0,2009,2
2008-11-01,MU,-0.74,0.0,2009,1
2008-08-01,MU,-0.28,0.0,2008,4
2008-05-01,MU,-0.28,0.0,2008,3
2008-02-01,MU,-0.3,0.0,2008,2
2007-11-01,MU,-0.26,0.0,2008,1
2007-08-01,MU,-0.18,0.0,2007,4
2007-05-01,MU,0.0,0.0,2007,3
2007-02-01,MU,0.0,0.0,2007,2
2006-11-01,MU,0.21,0.2,2007,1
2006-08-01,MU,0.14,0.14,2006,4
2006-05-01,MU,0.13,0.095,2006,3
2006-02-01,MU,0.0,0.045,2006,2
2005-11-01,MU,0.09,0.09,2006,1
2005-08-01,MU,0.07,0.0,2005,4
2005-05-01,MU,0.0,0.0,2005,3
2005-02-01,MU,0.17,0.145,2005,2
2004-11-01,MU,0.23,0.22,2005,1
2004-08-01,MU,0.14,0.2,2004,4
2004-05-01,MU,0.13,0.09,2004,3
2004-02-01,MU,0.0,0.0,2004,2
2003-11-01,MU,0.0,0.0,2004,1
2003-08-01,MU,0.0,0.0,2003,4
2003-05-01,MU,0.0,0.0,2003,3
2003-02-01,MU,0.0,0.0,2003,2
2002-11-01,MU,0.0,0.0,2003,1
2002-08-01,MU,0.0,0.0,2002,4
2002-05-01,MU,0.0,0.055,2002,3
2002-02-01,MU,0.0,0.0,2002,2
2001-11-01,MU,0.0,0.0,2002,1
2001-08-01,MU,0.0,0.0,2001,4
2001-05-01,MU,0.0,0.0,2001,3
2001-02-01,MU,0.0,0.0,2001,2
2000-11-01,MU,0.58,0.55,2001,1
2000-08-01,MU,1.16,0.95,2000,4
2000-05-01,MU,0.47,0.415,2000,3
2000-02-01,MU,0.29,0.31,2000,2
1999-11-01,MU,0.57,0.4,2000,1
