date,ticker,eps,wallstreet_estimates,fiscal_year,fiscal_quarter
2014-11-05,QCOM,1.26,1.3130000000000002,2014,4
2014-07-23,QCOM,1.31,1.217,2014,3
2014-04-23,QCOM,1.31,1.223,2014,2
2014-01-29,QCOM,1.26,1.198,2014,1
2013-11-06,QCOM,1.05,1.081,2013,4
2013-07-24,QCOM,1.03,1.031,2013,3
2013-04-24,QCOM,1.17,1.158,2013,2
2013-01-30,QCOM,1.26,1.12,2013,1
2012-11-07,QCOM,0.89,0.82,2012,4
2012-07-18,QCOM,0.85,0.86,2012,3
2012-04-18,QCOM,1.03,0.96,2012,2
2012-02-01,QCOM,0.97,0.95,2012,1
2011-11-02,QCOM,0.8,0.78,2011,4
2011-07-20,QCOM,0.73,0.71,2011,3
2011-04-20,QCOM,1.02,0.8,2011,2
2011-01-26,QCOM,0.82,0.72,2011,1
2010-11-03,QCOM,0.68,0.59,2010,4
2010-06-01,QCOM,0.57,0.54,2010,3
2010-03-01,QCOM,0.59,0.57,2010,2
2009-12-01,QCOM,0.62,0.56,2010,1
2009-09-01,QCOM,0.64,0.52,2009,4
2009-06-01,QCOM,0.54,0.52,2009,3
2009-03-01,QCOM,0.43,0.41,2009,2
2008-12-01,QCOM,0.31,0.56,2009,1
2008-09-01,QCOM,0.63,0.605,2008,4
2008-06-01,QCOM,0.55,0.55,2008,3
2008-03-01,QCOM,0.54,0.52,2008,2
2007-12-01,QCOM,0.52,0.53,2008,1
2007-09-01,QCOM,0.54,0.53,2007,4
2007-06-01,QCOM,0.55,0.51,2007,3
2007-03-01,QCOM,0.5,0.48,2007,2
2006-12-01,QCOM,0.43,0.42,2007,1
2006-09-01,QCOM,0.42,0.41,2006,4
2006-06-01,QCOM,0.42,0.42,2006,3
2006-03-01,QCOM,0.41,0.41,2006,2
2005-12-01,QCOM,0.39,0.38,2006,1
2005-09-01,QCOM,0.32,0.33,2005,4
2005-06-01,QCOM,0.28,0.25,2005,3
2005-03-01,QCOM,0.29,0.27,2005,2
2004-12-01,QCOM,0.28,0.27,2005,1
2004-09-01,QCOM,0.29,0.29,2004,4
2004-06-01,QCOM,0.285,0.265,2004,3
2004-03-01,QCOM,0.265,0.245,2004,2
2003-12-01,QCOM,0.255,0.24,2004,1
2003-09-01,QCOM,0.145,0.145,2003,4
2003-06-01,QCOM,0.165,0.15,2003,3
2003-03-01,QCOM,0.19,0.18,2003,2
2002-12-01,QCOM,0.21,0.19,2003,1
2002-09-01,QCOM,0.155,0.14,2002,4
2002-06-01,QCOM,0.12,0.11,2002,3
2002-03-01,QCOM,0.1,0.1,2002,2
2001-12-01,QCOM,0.115,0.11,2002,1
2001-09-01,QCOM,0.115,0.125,2001,4
2001-06-01,QCOM,0.11,0.105,2001,3
2001-03-01,QCOM,0.145,0.145,2001,2
2000-12-01,QCOM,0.145,0.14,2001,1
2000-09-01,QCOM,0.125,0.12,2000,4
2000-06-01,QCOM,0.135,0.135,2000,3
2000-03-01,QCOM,0.13,0.125,2000,2
1999-12-01,QCOM,0.125,0.12,2000,1
