date,ticker,eps,wallstreet_estimates,fiscal_year,fiscal_quarter
2015-01-21,SNDK,1.3,1.351,2014,4
2014-10-16,SNDK,1.45,1.352,2014,3
2014-07-16,SNDK,1.41,1.368,2014,2
2014-04-16,SNDK,1.44,1.248,2014,1
2014-01-22,SNDK,1.71,1.5759999999999998,2013,4
2013-10-16,SNDK,1.59,1.3159999999999998,2013,3
2013-07-17,SNDK,1.21,0.929,2013,2
2013-04-17,SNDK,0.84,0.7959999999999999,2013,1
2013-01-23,SNDK,1.05,0.73,2012,4
2012-10-18,SNDK,0.48,0.33,2012,3
2012-07-19,SNDK,0.21,0.19,2012,2
2012-04-19,SNDK,0.63,0.7,2012,1
2012-01-25,SNDK,1.29,1.26,2011,4
2011-10-20,SNDK,1.2,1.07,2011,3
2011-06-01,SNDK,1.14,1.0,2011,2
2011-03-01,SNDK,1.03,1.0,2011,1
2010-12-01,SNDK,1.27,1.09,2010,4
2010-09-01,SNDK,1.3,1.05,2010,3
2010-06-01,SNDK,1.08,0.9,2010,2
2010-03-01,SNDK,0.95,0.59,2010,1
2009-12-01,SNDK,1.18,0.65,2009,4
2009-09-01,SNDK,0.75,0.22,2009,3
2009-06-01,SNDK,0.36,0.0,2009,2
2009-03-01,SNDK,-0.48,0.0,2009,1
2008-12-01,SNDK,-1.59,0.0,2008,4
2008-09-01,SNDK,-0.59,0.0,2008,3
2008-06-01,SNDK,-0.59,0.11,2008,2
2008-03-01,SNDK,-0.1,0.265,2008,1
2007-12-01,SNDK,0.69,0.615,2007,4
2007-09-01,SNDK,0.54,0.32,2007,3
2007-06-01,SNDK,0.3,0.16,2007,2
2007-03-01,SNDK,0.19,0.185,2007,1
2006-12-01,SNDK,0.87,0.7,2006,4
2006-09-01,SNDK,0.61,0.575,2006,3
2006-06-01,SNDK,0.58,0.45,2006,2
2006-03-01,SNDK,0.44,0.45,2006,1
2005-12-01,SNDK,0.68,0.61,2005,4
2005-09-01,SNDK,0.55,0.35,2005,3
2005-06-01,SNDK,0.37,0.32,2005,2
2005-03-01,SNDK,0.39,0.31,2005,1
2004-12-01,SNDK,0.42,0.29,2004,4
2004-09-01,SNDK,0.29,0.34,2004,3
2004-06-01,SNDK,0.38,0.3,2004,2
2004-03-01,SNDK,0.34,0.318,2004,1
2003-12-01,SNDK,0.47,0.383,2003,4
2003-09-01,SNDK,0.3,0.215,2003,3
2003-06-01,SNDK,0.26,0.163,2003,2
2003-03-01,SNDK,0.165,0.08800000000000001,2003,1
2002-12-01,SNDK,0.13,0.0,2002,4
2002-09-01,SNDK,0.08,0.0,2002,3
2002-06-01,SNDK,0.065,0.0,2002,2
2002-03-01,SNDK,0.0,0.0,2002,1
2001-12-01,SNDK,0.0,0.0,2001,4
2001-09-01,SNDK,0.0,0.0,2001,3
2001-06-01,SNDK,0.02,0.0,2001,2
2001-03-01,SNDK,0.0,0.0,2001,1
2000-12-01,SNDK,0.205,0.0,2000,4
2000-09-01,SNDK,0.175,0.0,2000,3
2000-06-01,SNDK,0.165,0.0,2000,2
2000-03-01,SNDK,0.105,0.0,2000,1
