date,ticker,eps,wallstreet_estimates,fiscal_year,fiscal_quarter
2014-05-08,SYMC,0.47,0.416,2014,4
2014-01-29,SYMC,0.51,0.426,2014,3
2013-10-23,SYMC,0.5,0.435,2014,2
2013-07-30,SYMC,0.44,0.365,2014,1
2013-05-07,SYMC,0.44,0.382,2013,4
2013-01-23,SYMC,0.45,0.38,2013,3
2012-10-24,SYMC,0.45,0.37,2013,2
2012-07-25,SYMC,0.43,0.38,2013,1
2012-05-02,SYMC,0.38,0.38,2012,4
2012-01-25,SYMC,0.42,0.41,2012,3
2011-10-26,SYMC,0.39,0.39,2012,2
2011-06-01,SYMC,0.4,0.37,2012,1
2011-03-01,SYMC,0.38,0.36,2011,4
2010-12-01,SYMC,0.35,0.33,2011,3
2010-09-01,SYMC,0.34,0.28,2011,2
2010-06-01,SYMC,0.35,0.35,2011,1
2010-03-01,SYMC,0.4,0.4,2010,4
2009-12-01,SYMC,0.4,0.4,2010,3
2009-09-01,SYMC,0.36,0.36,2010,2
2009-06-01,SYMC,0.33,0.34,2010,1
2009-03-01,SYMC,0.38,0.35,2009,4
2008-12-01,SYMC,0.42,0.4,2009,3
2008-09-01,SYMC,0.37,0.36,2009,2
2008-06-01,SYMC,0.4,0.34,2009,1
2008-03-01,SYMC,0.36,0.34,2008,4
2007-12-01,SYMC,0.33,0.29,2008,3
2007-09-01,SYMC,0.29,0.26,2008,2
2007-06-01,SYMC,0.29,0.2,2008,1
2007-03-01,SYMC,0.24,0.2,2007,4
2006-12-01,SYMC,0.26,0.25,2007,3
2006-09-01,SYMC,0.22,0.23,2007,2
2006-06-01,SYMC,0.18,0.175,2007,1
2006-03-01,SYMC,0.26,0.25,2006,4
2005-12-01,SYMC,0.26,0.25,2006,3
2005-09-01,SYMC,0.23,0.2,2006,2
2005-06-01,SYMC,0.27,0.25,2006,1
2005-03-01,SYMC,0.25,0.24,2005,4
2004-12-01,SYMC,0.24,0.22,2005,3
2004-09-01,SYMC,0.205,0.195,2005,2
2004-06-01,SYMC,0.195,0.17,2005,1
2004-03-01,SYMC,0.175,0.17,2004,4
2003-12-01,SYMC,0.17,0.145,2004,3
2003-09-01,SYMC,0.133,0.115,2004,2
2003-06-01,SYMC,0.113,0.098,2004,1
2003-03-01,SYMC,0.118,0.115,2003,4
2002-12-01,SYMC,0.118,0.096,2003,3
2002-09-01,SYMC,0.095,0.078,2003,2
2002-06-01,SYMC,0.103,0.08,2003,1
2002-03-01,SYMC,0.103,0.08800000000000001,2002,4
2001-12-01,SYMC,0.098,0.079,2002,3
2001-09-01,SYMC,0.07,0.054000000000000006,2002,2
2001-06-01,SYMC,0.055,0.054000000000000006,2002,1
2001-03-01,SYMC,0.078,0.075,2001,4
2000-12-01,SYMC,0.065,0.0,2001,3
2000-09-01,SYMC,0.076,0.0,2001,2
2000-06-01,SYMC,0.075,0.0,2001,1
2000-03-01,SYMC,0.069,0.0,2000,4
1999-12-01,SYMC,0.063,0.0,2000,3
1999-09-01,SYMC,0.054000000000000006,0.0,2000,2
1999-06-01,SYMC,0.049,0.0,2000,1
