date,ticker,eps,wallstreet_estimates,fiscal_year,fiscal_quarter
2015-01-26,TXN,0.69,0.693,2014,4
2014-10-20,TXN,0.76,0.7140000000000001,2014,3
2014-07-21,TXN,0.62,0.59,2014,2
2014-04-23,TXN,0.44,0.407,2014,1
2014-01-21,TXN,0.46,0.466,2013,4
2013-10-21,TXN,0.56,0.532,2013,3
2013-07-22,TXN,0.42,0.42,2013,2
2013-04-22,TXN,0.32,0.303,2013,1
2013-01-22,TXN,0.36,0.33,2012,4
2012-10-22,TXN,0.52,0.46,2012,3
2012-07-23,TXN,0.44,0.41,2012,2
2012-04-23,TXN,0.32,0.29,2012,1
2012-01-23,TXN,0.48,0.39,2011,4
2011-10-24,TXN,0.6,0.57,2011,3
2011-07-25,TXN,0.56,0.53,2011,2
2011-04-18,TXN,0.57,0.58,2011,1
2011-01-24,TXN,0.64,0.63,2010,4
2010-09-01,TXN,0.71,0.69,2010,3
2010-06-01,TXN,0.62,0.62,2010,2
2010-03-01,TXN,0.52,0.51,2010,1
2009-12-01,TXN,0.51,0.5,2009,4
2009-09-01,TXN,0.42,0.4,2009,3
2009-06-01,TXN,0.25,0.23,2009,2
2009-03-01,TXN,0.07,0.005,2009,1
2008-12-01,TXN,0.16,0.125,2008,4
2008-09-01,TXN,0.4,0.44,2008,3
2008-06-01,TXN,0.44,0.455,2008,2
2008-03-01,TXN,0.43,0.43,2008,1
2007-12-01,TXN,0.53,0.52,2007,4
2007-09-01,TXN,0.5,0.49,2007,3
2007-06-01,TXN,0.42,0.42,2007,2
2007-03-01,TXN,0.35,0.31,2007,1
2006-12-01,TXN,0.39,0.38,2006,4
2006-09-01,TXN,0.45,0.45,2006,3
2006-06-01,TXN,0.47,0.47,2006,2
2006-03-01,TXN,0.33,0.32,2006,1
2005-12-01,TXN,0.43,0.42,2005,4
2005-09-01,TXN,0.41,0.4,2005,3
2005-06-01,TXN,0.32,0.29,2005,2
2005-03-01,TXN,0.24,0.23,2005,1
2004-12-01,TXN,0.26,0.26,2004,4
2004-09-01,TXN,0.32,0.28,2004,3
2004-06-01,TXN,0.25,0.25,2004,2
2004-03-01,TXN,0.21,0.21,2004,1
2003-12-01,TXN,0.2,0.19,2003,4
2003-09-01,TXN,0.12,0.09,2003,3
2003-06-01,TXN,0.07,0.06,2003,2
2003-03-01,TXN,0.07,0.06,2003,1
2002-12-01,TXN,0.06,0.03,2002,4
2002-09-01,TXN,0.09,0.1,2002,3
2002-06-01,TXN,0.06,0.06,2002,2
2002-03-01,TXN,0.01,0.0,2002,1
2001-12-01,TXN,0.0,0.0,2001,4
2001-09-01,TXN,0.0,0.0,2001,3
2001-06-01,TXN,0.03,0.025,2001,2
2001-03-01,TXN,0.18,0.16,2001,1
2000-12-01,TXN,0.31,0.33,2000,4
2000-09-01,TXN,0.33,0.33,2000,3
2000-06-01,TXN,0.31,0.3,2000,2
2000-03-01,TXN,0.28,0.27,2000,1
