date,ticker,eps,wallstreet_estimates,fiscal_year,fiscal_quarter
2014-07-30,WDC,1.85,1.741,2014,4
2014-04-30,WDC,1.94,1.881,2014,3
2014-01-22,WDC,2.19,2.079,2014,2
2013-10-24,WDC,2.12,2.042,2014,1
2013-07-24,WDC,1.96,1.787,2013,4
2013-04-24,WDC,2.1,1.786,2013,3
2013-01-23,WDC,2.09,1.8,2013,2
2012-10-22,WDC,2.36,2.3,2013,1
2012-07-25,WDC,3.35,2.46,2012,4
2012-04-26,WDC,2.52,1.58,2012,3
2012-01-23,WDC,0.61,0.72,2012,2
2011-10-19,WDC,1.1,0.96,2012,1
2011-06-01,WDC,0.81,0.67,2011,4
2011-03-01,WDC,0.66,0.66,2011,3
2010-12-01,WDC,0.96,0.58,2011,2
2010-09-01,WDC,0.84,0.81,2011,1
2010-06-01,WDC,1.24,1.23,2010,4
2010-03-01,WDC,1.71,1.71,2010,3
2009-12-01,WDC,1.85,1.85,2010,2
2009-09-01,WDC,1.26,1.25,2010,1
2009-06-01,WDC,0.76,0.25,2009,4
2009-03-01,WDC,0.3,0.11,2009,3
2008-12-01,WDC,0.55,1.85,2009,2
2008-09-01,WDC,0.93,1.25,2009,1
2008-06-01,WDC,1.0,0.81,2008,4
2008-03-01,WDC,1.23,1.09,2008,3
2007-12-01,WDC,1.35,1.04,2008,2
2007-09-01,WDC,0.79,0.57,2008,1
2007-06-01,WDC,0.38,0.36,2007,4
2007-03-01,WDC,0.48,0.47,2007,3
2006-12-01,WDC,0.57,0.52,2007,2
2006-09-01,WDC,0.46,0.41,2007,1
2006-06-01,WDC,0.38,0.35,2006,4
2006-03-01,WDC,0.45,0.39,2006,3
2005-12-01,WDC,0.5,0.38,2006,2
2005-09-01,WDC,0.31,0.29,2006,1
2005-06-01,WDC,0.27,0.24,2005,4
2005-03-01,WDC,0.32,0.31,2005,3
2004-12-01,WDC,0.26,0.18,2005,2
2004-09-01,WDC,0.14,0.11,2005,1
2004-06-01,WDC,0.14,0.15,2004,4
2004-03-01,WDC,0.22,0.21,2004,3
2003-12-01,WDC,0.32,0.29,2004,2
2003-09-01,WDC,0.25,0.195,2004,1
2003-06-01,WDC,0.21,0.19,2003,4
2003-03-01,WDC,0.26,0.22,2003,3
2002-12-01,WDC,0.36,0.13,2003,2
2002-09-01,WDC,0.11,0.06,2003,1
2002-06-01,WDC,0.08,0.05,2002,4
2002-03-01,WDC,0.08,0.08,2002,3
2001-12-01,WDC,0.05,0.04,2002,2
2001-09-01,WDC,0.0,0.0,2002,1
2001-06-01,WDC,0.0,0.0,2001,4
2001-03-01,WDC,0.0,0.0,2001,3
2000-12-01,WDC,0.0,0.0,2001,2
2000-09-01,WDC,0.0,0.0,2001,1
2000-06-01,WDC,0.0,0.0,2000,4
2000-03-01,WDC,0.0,0.0,2000,3
1999-12-01,WDC,0.0,0.0,2000,2
1999-09-01,WDC,0.0,0.0,2000,1
