date,ticker,eps,wallstreet_estimates,fiscal_year,fiscal_quarter
2014-04-23,XLNX,0.53,0.5479999999999999,2014,4
2014-01-21,XLNX,0.55,0.534,2014,3
2013-10-16,XLNX,0.58,0.524,2014,2
2013-07-17,XLNX,0.56,0.473,2014,1
2013-04-24,XLNX,0.47,0.447,2013,4
2013-01-17,XLNX,0.38,0.37,2013,3
2012-10-17,XLNX,0.46,0.41,2013,2
2012-07-18,XLNX,0.47,0.45,2013,1
2012-04-25,XLNX,0.49,0.41,2012,4
2012-01-18,XLNX,0.41,0.37,2012,3
2011-09-01,XLNX,0.47,0.44,2012,2
2011-06-01,XLNX,0.56,0.53,2012,1
2011-03-01,XLNX,0.59,0.52,2011,4
2010-12-01,XLNX,0.58,0.52,2011,3
2010-09-01,XLNX,0.65,0.65,2011,2
2010-06-01,XLNX,0.58,0.53,2011,1
2010-04-28,XLNX,0.47,0.47,2010,4
2009-12-01,XLNX,0.4,0.38,2010,3
2009-09-01,XLNX,0.25,0.23,2010,2
2009-06-01,XLNX,0.21,0.14,2010,1
2009-03-01,XLNX,0.28,0.183,2009,4
2008-12-01,XLNX,0.32,0.38,2009,3
2008-09-01,XLNX,0.38,0.23,2009,2
2008-06-01,XLNX,0.38,0.14,2009,1
2008-03-01,XLNX,0.36,0.36,2008,4
2007-12-01,XLNX,0.35,0.32,2008,3
2007-09-01,XLNX,0.3,0.29,2008,2
2007-06-01,XLNX,0.28,0.29,2008,1
2007-03-01,XLNX,0.27,0.23,2007,4
2006-12-01,XLNX,0.25,0.23,2007,3
2006-09-01,XLNX,0.27,0.23,2007,2
2006-06-01,XLNX,0.24,0.26,2007,1
2006-03-01,XLNX,0.3,0.28,2006,4
2005-12-01,XLNX,0.27,0.27,2006,3
2005-09-01,XLNX,0.21,0.22,2006,2
2005-06-01,XLNX,0.21,0.21,2006,1
2005-03-01,XLNX,0.19,0.2,2005,4
2004-12-01,XLNX,0.17,0.17,2005,3
2004-09-01,XLNX,0.24,0.23,2005,2
2004-06-01,XLNX,0.28,0.28,2005,1
2004-03-01,XLNX,0.28,0.25,2004,4
2003-12-01,XLNX,0.2,0.18,2004,3
2003-09-01,XLNX,0.16,0.15,2004,2
2003-06-01,XLNX,0.15,0.15,2004,1
2003-03-01,XLNX,0.14,0.13,2003,4
2002-12-01,XLNX,0.12,0.12,2003,3
2002-09-01,XLNX,0.11,0.1,2003,2
2002-06-01,XLNX,0.12,0.12,2003,1
2002-03-01,XLNX,0.12,0.09,2002,4
2001-12-01,XLNX,0.07,0.04,2002,3
2001-09-01,XLNX,0.05,0.04,2002,2
2001-06-01,XLNX,0.08,0.07,2002,1
2001-03-01,XLNX,0.19,0.22,2001,4
2000-12-01,XLNX,0.31,0.32,2001,3
2000-09-01,XLNX,0.32,0.32,2001,2
2000-06-01,XLNX,0.27,0.25,2001,1
2000-03-01,XLNX,0.22,0.21,2000,4
1999-12-01,XLNX,0.2,0.19,2000,3
1999-09-01,XLNX,0.18,0.17,2000,2
1999-06-01,XLNX,0.15,0.0,2000,1
