date,ticker,eps,wallstreet_estimates,fiscal_year,fiscal_quarter
2014-12-11,ADBE,0.36,0.299,2014,4
2014-09-16,ADBE,0.28,0.259,2014,3
2014-06-17,ADBE,0.37,0.294,2014,2
2014-03-18,ADBE,0.3,0.253,2014,1
2013-12-12,ADBE,0.32,0.318,2013,4
2013-09-17,ADBE,0.32,0.336,2013,3
2013-06-18,ADBE,0.36,0.332,2013,2
2013-03-19,ADBE,0.35,0.31,2013,1
2012-12-13,ADBE,0.61,0.57,2012,4
2012-09-19,ADBE,0.58,0.58,2012,3
2012-06-19,ADBE,0.6,0.59,2012,2
2012-03-19,ADBE,0.57,0.57,2012,1
2011-12-15,ADBE,0.67,0.6,2011,4
2011-09-20,ADBE,0.55,0.54,2011,3
2011-05-01,ADBE,0.55,0.51,2011,2
2011-02-01,ADBE,0.58,0.57,2011,1
2010-11-01,ADBE,0.56,0.52,2010,4
2010-08-01,ADBE,0.54,0.49,2010,3
2010-05-01,ADBE,0.44,0.42,2010,2
2010-02-01,ADBE,0.4,0.37,2010,1
2009-11-01,ADBE,0.39,0.37,2009,4
2009-08-01,ADBE,0.35,0.34,2009,3
2009-05-01,ADBE,0.35,0.35,2009,2
2009-02-01,ADBE,0.45,0.44,2009,1
2008-11-01,ADBE,0.6,0.59,2008,4
2008-08-01,ADBE,0.5,0.46,2008,3
2008-05-01,ADBE,0.5,0.46,2008,2
2008-02-01,ADBE,0.48,0.45,2008,1
2007-11-01,ADBE,0.49,0.48,2007,4
2007-08-01,ADBE,0.45,0.41,2007,3
2007-05-01,ADBE,0.37,0.36,2007,2
2007-02-01,ADBE,0.3,0.29,2007,1
2006-11-01,ADBE,0.33,0.33,2006,4
2006-08-01,ADBE,0.29,0.26,2006,3
2006-05-01,ADBE,0.31,0.3,2006,2
2006-02-01,ADBE,0.32,0.29,2006,1
2005-11-01,ADBE,0.3,0.29,2005,4
2005-08-01,ADBE,0.29,0.27,2005,3
2005-05-01,ADBE,0.28,0.27,2005,2
2005-02-01,ADBE,0.265,0.25,2005,1
2004-11-01,ADBE,0.22,0.21,2004,4
2004-08-01,ADBE,0.215,0.195,2004,3
2004-05-01,ADBE,0.22,0.21,2004,2
2004-02-01,ADBE,0.25,0.2,2004,1
2003-11-01,ADBE,0.17,0.16,2003,4
2003-08-01,ADBE,0.14,0.125,2003,3
2003-05-01,ADBE,0.14,0.13,2003,2
2003-02-01,ADBE,0.125,0.11,2003,1
2002-11-01,ADBE,0.125,0.115,2002,4
2002-08-01,ADBE,0.11,0.095,2002,3
2002-05-01,ADBE,0.135,0.125,2002,2
2002-02-01,ADBE,0.11,0.1,2002,1
2001-11-01,ADBE,0.1,0.105,2001,4
2001-08-01,ADBE,0.14,0.14,2001,3
2001-05-01,ADBE,0.17,0.14300000000000002,2001,2
2001-02-01,ADBE,0.165,0.135,2001,1
2000-11-01,ADBE,0.17,0.145,2000,4
2000-08-01,ADBE,0.145,0.13,2000,3
2000-05-01,ADBE,0.13,0.121,2000,2
2000-02-01,ADBE,0.12,0.10800000000000001,2000,1
