date,ticker,eps,wallstreet_estimates,fiscal_year,fiscal_quarter
11/25/14,ADI,0.69,0.679,2014,4
8/26/14,ADI,0.63,0.626,2014,3
5/20/14,ADI,0.59,0.562,2014,2
2/18/14,ADI,0.49,0.483,2014,1
11/26/13,ADI,0.62,0.5820000000000001,2013,4
8/20/13,ADI,0.57,0.544,2013,3
5/21/13,ADI,0.52,0.523,2013,2
2/19/13,ADI,0.44,0.444,2013,1
11/27/12,ADI,0.58,0.57,2012,4
8/21/12,ADI,0.56,0.56,2012,3
5/22/12,ADI,0.53,0.51,2012,2
2/22/12,ADI,0.46,0.48,2012,1
11/21/11,ADI,0.6,0.63,2011,4
8/16/11,ADI,0.71,0.73,2011,3
5/17/11,ADI,0.75,0.68,2011,2
2/15/11,ADI,0.66,0.65,2011,1
11/22/10,ADI,0.73,0.7,2010,4
8/17/10,ADI,0.65,0.6,2010,3
4/1/10,ADI,0.55,0.5,2010,2
1/1/10,ADI,0.43,0.38,2010,1
10/1/09,ADI,0.36,0.26,2009,4
7/1/09,ADI,0.22,0.19,2009,3
4/1/09,ADI,0.21,0.09,2009,2
1/1/09,ADI,0.18,0.16,2009,1
10/1/08,ADI,0.49,0.45,2008,4
7/1/08,ADI,0.49,0.44,2008,3
4/1/08,ADI,0.44,0.41,2008,2
1/1/08,ADI,0.44,0.4,2008,1
10/1/07,ADI,0.38,0.38,2007,4
7/1/07,ADI,0.38,0.36,2007,3
4/1/07,ADI,0.36,0.36,2007,2
1/1/07,ADI,0.36,0.37,2007,1
10/1/06,ADI,0.4,0.36,2006,4
7/1/06,ADI,0.43,0.405,2006,3
4/1/06,ADI,0.38,0.36,2006,2
1/1/06,ADI,0.37,0.36,2006,1
10/1/05,ADI,0.36,0.35,2005,4
7/1/05,ADI,0.32,0.31,2005,3
4/1/05,ADI,0.31,0.3,2005,2
1/1/05,ADI,0.28,0.29,2005,1
10/1/04,ADI,0.35,0.33299999999999996,2004,4
7/1/04,ADI,0.43,0.45,2004,3
4/1/04,ADI,0.39,0.35,2004,2
1/1/04,ADI,0.3,0.28,2004,1
10/1/03,ADI,0.25,0.23,2003,4
7/1/03,ADI,0.21,0.21,2003,3
4/1/03,ADI,0.19,0.18,2003,2
1/1/03,ADI,0.17,0.16,2003,1
10/1/02,ADI,0.16,0.16,2002,4
7/1/02,ADI,0.15,0.15,2002,3
4/1/02,ADI,0.13,0.12,2002,2
1/1/02,ADI,0.11,0.11,2002,1
10/1/01,ADI,0.14,0.12,2001,4
7/1/01,ADI,0.17,0.17,2001,3
4/1/01,ADI,0.31,0.32,2001,2
1/1/01,ADI,0.5,0.5,2001,1
10/1/00,ADI,0.54,0.5,2000,4
7/1/00,ADI,0.43,0.37,2000,3
4/1/00,ADI,0.32,0.28,2000,2
1/1/00,ADI,0.25,0.22,2000,1
