date,ticker,eps,wallstreet_estimates,fiscal_year,fiscal_quarter
2014-07-31,ADP,0.63,0.627,2014,4
2014-04-30,ADP,1.06,1.077,2014,3
2014-02-05,ADP,0.78,0.77,2014,2
2013-10-30,ADP,0.68,0.6609999999999999,2014,1
2013-08-01,ADP,0.55,0.5720000000000001,2013,4
2013-05-03,ADP,0.99,0.982,2013,3
2013-02-05,ADP,0.72,0.713,2013,2
2012-10-30,ADP,0.62,0.62,2013,1
2012-08-01,ADP,0.53,0.53,2012,4
2012-05-01,ADP,0.92,0.91,2012,3
2012-01-25,ADP,0.68,0.68,2012,2
2011-10-26,ADP,0.61,0.61,2012,1
2011-07-28,ADP,0.48,0.49,2011,4
2011-05-02,ADP,0.85,0.85,2011,3
2011-01-26,ADP,0.62,0.61,2011,2
2010-10-27,ADP,0.56,0.53,2011,1
2010-07-29,ADP,0.42,0.42,2010,4
2010-04-27,ADP,0.79,0.79,2010,3
2010-02-02,ADP,0.6,0.6,2010,2
2009-09-01,ADP,0.56,0.56,2010,1
2009-06-01,ADP,0.45,0.45,2009,4
2009-03-01,ADP,0.8,0.8,2009,3
2008-12-01,ADP,0.59,0.6,2009,2
2008-09-01,ADP,0.54,0.56,2009,1
2008-06-01,ADP,0.42,0.41,2008,4
2008-03-01,ADP,0.77,0.75,2008,3
2007-12-01,ADP,0.53,0.53,2008,2
2007-09-01,ADP,0.45,0.43,2008,1
2007-06-01,ADP,0.35,0.36,2007,4
2007-03-01,ADP,0.74,0.71,2007,3
2006-12-01,ADP,0.52,0.51,2007,2
2006-09-01,ADP,0.43,0.435,2007,1
2006-06-01,ADP,0.44,0.46,2006,4
2006-03-01,ADP,0.61,0.63,2006,3
2005-12-01,ADP,0.52,0.5,2006,2
2005-09-01,ADP,0.43,0.4,2006,1
2005-06-01,ADP,0.44,0.44,2005,4
2005-03-01,ADP,0.57,0.57,2005,3
2004-12-01,ADP,0.42,0.42,2005,2
2004-09-01,ADP,0.35,0.33,2005,1
2004-06-01,ADP,0.36,0.35,2004,4
2004-03-01,ADP,0.5,0.5,2004,3
2003-12-01,ADP,0.38,0.37,2004,2
2003-09-01,ADP,0.32,0.28,2004,1
2003-06-01,ADP,0.36,0.38,2003,4
2003-03-01,ADP,0.54,0.52,2003,3
2002-12-01,ADP,0.43,0.43,2003,2
2002-09-01,ADP,0.34,0.33,2003,1
2002-06-01,ADP,0.46,0.47,2002,4
2002-03-01,ADP,0.56,0.55,2002,3
2001-12-01,ADP,0.42,0.41,2002,2
2001-09-01,ADP,0.31,0.31,2002,1
2001-06-01,ADP,0.4,0.41,2001,4
2001-03-01,ADP,0.49,0.48,2001,3
2000-12-01,ADP,0.36,0.36,2001,2
2000-09-01,ADP,0.27,0.27,2001,1
2000-06-01,ADP,0.35,0.35,2000,4
2000-03-01,ADP,0.42,0.41,2000,3
1999-12-01,ADP,0.31,0.32,2000,2
1999-09-01,ADP,0.23,0.23,2000,1
