date,ticker,eps,wallstreet_estimates,fiscal_year,fiscal_quarter
2015-01-22,ALTR,0.36,0.349,2014,4
2014-10-23,ALTR,0.38,0.373,2014,3
2014-07-24,ALTR,0.41,0.3720000000000001,2014,2
2014-04-24,ALTR,0.37,0.319,2014,1
2014-01-23,ALTR,0.31,0.299,2013,4
2013-10-22,ALTR,0.37,0.341,2013,3
2013-07-23,ALTR,0.31,0.309,2013,2
2013-04-25,ALTR,0.37,0.33,2013,1
2013-01-23,ALTR,0.37,0.39,2012,4
2012-10-23,ALTR,0.49,0.46,2012,3
2012-07-24,ALTR,0.5,0.39,2012,2
2012-04-19,ALTR,0.35,0.36,2012,1
2012-01-24,ALTR,0.45,0.41,2011,4
2011-10-20,ALTR,0.57,0.59,2011,3
2011-07-19,ALTR,0.65,0.64,2011,2
2011-04-26,ALTR,0.68,0.63,2011,1
2011-01-25,ALTR,0.72,0.71,2010,4
2010-10-19,ALTR,0.69,0.65,2010,3
2010-07-20,ALTR,0.58,0.53,2010,2
2010-04-20,ALTR,0.5,0.4,2010,1
2009-12-01,ALTR,0.34,0.29,2009,4
2009-09-01,ALTR,0.19,0.19,2009,3
2009-06-01,ALTR,0.2,0.16,2009,2
2009-03-01,ALTR,0.17,0.16,2009,1
2008-12-01,ALTR,0.28,0.27,2008,4
2008-09-01,ALTR,0.31,0.3,2008,3
2008-06-01,ALTR,0.32,0.27,2008,2
2008-03-01,ALTR,0.27,0.23,2008,1
2007-12-01,ALTR,0.2,0.17,2007,4
2007-09-01,ALTR,0.2,0.2,2007,3
2007-06-01,ALTR,0.22,0.19,2007,2
2007-03-01,ALTR,0.21,0.19,2007,1
2006-12-01,ALTR,0.22,0.21,2006,4
2006-09-01,ALTR,0.24,0.21,2006,3
2006-06-01,ALTR,0.21,0.19,2006,2
2006-03-01,ALTR,0.16,0.16,2006,1
2005-12-01,ALTR,0.19,0.19,2005,4
2005-09-01,ALTR,0.21,0.2,2005,3
2005-06-01,ALTR,0.19,0.18,2005,2
2005-03-01,ALTR,0.17,0.15,2005,1
2004-12-01,ALTR,0.15,0.13,2004,4
2004-09-01,ALTR,0.17,0.18,2004,3
2004-06-01,ALTR,0.2,0.17600000000000002,2004,2
2004-03-01,ALTR,0.15,0.13,2004,1
2003-12-01,ALTR,0.12,0.11,2003,4
2003-09-01,ALTR,0.11,0.11,2003,3
2003-06-01,ALTR,0.09,0.09,2003,2
2003-03-01,ALTR,0.08,0.07,2003,1
2002-12-01,ALTR,0.07,0.06,2002,4
2002-09-01,ALTR,0.06,0.06,2002,3
2002-06-01,ALTR,0.06,0.05,2002,2
2002-03-01,ALTR,0.05,0.04,2002,1
2001-12-01,ALTR,0.03,0.03,2001,4
2001-09-01,ALTR,0.05,0.055,2001,3
2001-06-01,ALTR,0.09,0.08,2001,2
2001-03-01,ALTR,0.16,0.16,2001,1
2000-12-01,ALTR,0.25,0.26,2000,4
2000-09-01,ALTR,0.28,0.28,2000,3
2000-06-01,ALTR,0.25,0.22,2000,2
2000-03-01,ALTR,0.18,0.175,2000,1
