date,ticker,eps,wallstreet_estimates,fiscal_year,fiscal_quarter
2014-11-13,AMAT,0.27,0.268,2014,4
2014-08-14,AMAT,0.28,0.268,2014,3
2014-05-15,AMAT,0.28,0.27699999999999997,2014,2
2014-02-12,AMAT,0.23,0.22399999999999998,2014,1
2013-11-14,AMAT,0.19,0.179,2013,4
2013-08-15,AMAT,0.18,0.191,2013,3
2013-05-16,AMAT,0.16,0.132,2013,2
2013-02-13,AMAT,0.06,0.028999999999999998,2013,1
2012-11-15,AMAT,0.06,0.03,2012,4
2012-08-15,AMAT,0.24,0.22,2012,3
2012-05-17,AMAT,0.27,0.24,2012,2
2012-02-16,AMAT,0.18,0.12,2012,1
2011-11-16,AMAT,0.21,0.19,2011,4
2011-07-01,AMAT,0.35,0.33,2011,3
2011-04-01,AMAT,0.38,0.37,2011,2
2011-01-01,AMAT,0.36,0.33,2011,1
2010-10-01,AMAT,0.36,0.31,2010,4
2010-07-01,AMAT,0.17,0.25,2010,3
2010-04-01,AMAT,0.22,0.21,2010,2
2010-01-01,AMAT,0.13,0.13,2010,1
2009-10-01,AMAT,0.11,0.03,2009,4
2009-07-01,AMAT,-0.02,0.0,2009,3
2009-04-01,AMAT,-0.12,0.0,2009,2
2009-01-01,AMAT,-0.02,0.0,2009,1
2008-10-01,AMAT,0.2,0.145,2008,4
2008-07-01,AMAT,0.17,0.14,2008,3
2008-04-01,AMAT,0.26,0.22,2008,2
2008-01-01,AMAT,0.25,0.2,2008,1
2007-10-01,AMAT,0.34,0.285,2007,4
2007-07-01,AMAT,0.37,0.31,2007,3
2007-04-01,AMAT,0.34,0.28,2007,2
2007-01-01,AMAT,0.27,0.27,2007,1
2006-10-01,AMAT,0.3,0.31,2006,4
2006-07-01,AMAT,0.33,0.3,2006,3
2006-04-01,AMAT,0.26,0.23,2006,2
2006-01-01,AMAT,0.19,0.17,2006,1
2005-10-01,AMAT,0.15,0.14,2005,4
2005-07-01,AMAT,0.15,0.14,2005,3
2005-04-01,AMAT,0.18,0.17,2005,2
2005-01-01,AMAT,0.17,0.15,2005,1
2004-10-01,AMAT,0.27,0.26,2004,4
2004-07-01,AMAT,0.26,0.25,2004,3
2004-04-01,AMAT,0.22,0.19,2004,2
2004-01-01,AMAT,0.12,0.08,2004,1
2003-10-01,AMAT,0.06,0.05,2003,4
2003-07-01,AMAT,0.05,0.04,2003,3
2003-04-01,AMAT,0.03,0.02,2003,2
2003-01-01,AMAT,0.0,0.02,2003,1
2002-10-01,AMAT,0.09,0.08,2002,4
2002-07-01,AMAT,0.07,0.05,2002,3
2002-04-01,AMAT,0.03,0.015,2002,2
2002-01-01,AMAT,0.01,0.0,2002,1
2001-10-01,AMAT,0.015,0.02,2001,4
2001-07-01,AMAT,0.025,0.015,2001,3
2001-04-01,AMAT,0.16,0.163,2001,2
2001-01-01,AMAT,0.33,0.308,2001,1
2000-10-01,AMAT,0.385,0.38,2000,4
2000-07-01,AMAT,0.35,0.34,2000,3
2000-04-01,AMAT,0.275,0.265,2000,2
2000-01-01,AMAT,0.19,0.19,2000,1
