date,ticker,eps,wallstreet_estimates,fiscal_year,fiscal_quarter
2015-02-10,CERN,0.47,0.466,2014,4
2014-10-23,CERN,0.42,0.42100000000000004,2014,3
2014-07-24,CERN,0.4,0.396,2014,2
2014-04-24,CERN,0.37,0.371,2014,1
2014-02-04,CERN,0.39,0.389,2013,4
2013-10-24,CERN,0.35,0.354,2013,3
2013-07-25,CERN,0.34,0.33799999999999997,2013,2
2013-04-25,CERN,0.33,0.32,2013,1
2013-02-05,CERN,0.34,0.32,2012,4
2012-10-25,CERN,0.3,0.3,2012,3
2012-07-26,CERN,0.3,0.28,2012,2
2012-04-26,CERN,0.27,0.25,2012,1
2012-02-07,CERN,0.28,0.27,2011,4
2011-10-27,CERN,0.24,0.24,2011,3
2011-07-28,CERN,0.22,0.22,2011,2
2011-04-28,CERN,0.2,0.19,2011,1
2011-02-08,CERN,0.22,0.21,2010,4
2010-10-28,CERN,0.19,0.19,2010,3
2010-07-28,CERN,0.18,0.17,2010,2
2010-04-28,CERN,0.16,0.15,2010,1
2010-02-09,CERN,0.19,0.17,2009,4
2009-10-28,CERN,0.16,0.14,2009,3
2009-06-01,CERN,0.14,0.14,2009,2
2009-03-01,CERN,0.13,0.12,2009,1
2008-12-01,CERN,0.17,0.15,2008,4
2008-09-01,CERN,0.14,0.13,2008,3
2008-06-01,CERN,0.13,0.12,2008,2
2008-03-01,CERN,0.12,0.1,2008,1
2007-12-01,CERN,0.13,0.12,2007,4
2007-09-01,CERN,0.1,0.1,2007,3
2007-06-01,CERN,0.09,0.09,2007,2
2007-03-01,CERN,0.08,0.08,2007,1
2006-12-01,CERN,0.1,0.09,2006,4
2006-09-01,CERN,0.08,0.08,2006,3
2006-06-01,CERN,0.08,0.08,2006,2
2006-03-01,CERN,0.07,0.07,2006,1
2005-12-01,CERN,0.09,0.09,2005,4
2005-09-01,CERN,0.07,0.07,2005,3
2005-06-01,CERN,0.06,0.06,2005,2
2005-03-01,CERN,0.05,0.05,2005,1
2004-12-01,CERN,0.07,0.07,2004,4
2004-09-01,CERN,0.06,0.06,2004,3
2004-06-01,CERN,0.05,0.05,2004,2
2004-03-01,CERN,0.04,0.04,2004,1
2003-12-01,CERN,0.06,0.05,2003,4
2003-09-01,CERN,0.04,0.04,2003,3
2003-06-01,CERN,0.03,0.03,2003,2
2003-03-01,CERN,0.02,0.02,2003,1
2002-12-01,CERN,0.05,0.05,2002,4
2002-09-01,CERN,0.05,0.05,2002,3
2002-06-01,CERN,0.04,0.04,2002,2
2002-03-01,CERN,0.04,0.03,2002,1
2001-12-01,CERN,0.04,0.04,2001,4
2001-09-01,CERN,0.03,0.03,2001,3
2001-06-01,CERN,0.03,0.02,2001,2
2001-03-01,CERN,0.02,0.02,2001,1
2000-12-01,CERN,0.03,0.02,2000,4
2000-09-01,CERN,0.02,0.02,2000,3
2000-06-01,CERN,0.02,0.01,2000,2
2000-03-01,CERN,0.01,0.0,2000,1
