date,ticker,eps,wallstreet_estimates,fiscal_year,fiscal_quarter
2015-02-19,EQIX,0.56,0.767,2014,4
2014-10-29,EQIX,0.81,0.875,2014,3
2014-07-30,EQIX,0.22,0.807,2014,2
2014-04-30,EQIX,0.81,0.73,2014,1
2014-02-19,EQIX,0.88,0.784,2013,4
2013-10-23,EQIX,0.72,0.575,2013,3
2013-07-24,EQIX,0.09,0.593,2013,2
2013-04-24,EQIX,0.71,0.746,2013,1
2013-02-13,EQIX,0.88,0.624,2012,4
2012-10-30,EQIX,0.57,0.57,2012,3
2012-07-25,EQIX,0.72,0.6,2012,2
2012-04-25,EQIX,0.72,0.49,2012,1
2012-02-15,EQIX,0.35,0.44,2011,4
2011-10-26,EQIX,0.19,0.43,2011,3
2011-07-27,EQIX,0.64,0.47,2011,2
2011-04-27,EQIX,0.53,0.29,2011,1
2011-02-09,EQIX,0.29,0.23,2010,4
2010-10-26,EQIX,0.24,0.26,2010,3
2010-07-28,EQIX,-0.05,0.25,2010,2
2010-03-01,EQIX,0.35,0.43,2010,1
2009-12-01,EQIX,0.44,0.33,2009,4
2009-09-01,EQIX,0.47,0.31,2009,3
2009-06-01,EQIX,0.44,0.325,2009,2
2009-03-01,EQIX,0.4,0.16,2009,1
2008-12-01,EQIX,-0.19,0.24,2008,4
2008-09-01,EQIX,0.15,0.12,2008,3
2008-06-01,EQIX,0.02,0.16,2008,2
2008-03-01,EQIX,0.1,0.0,2008,1
2007-12-01,EQIX,-0.17,0.0,2007,4
2007-09-01,EQIX,0.2,0.0,2007,3
2007-06-01,EQIX,0.05,0.0,2007,2
2007-03-01,EQIX,0.0,0.0,2007,1
2006-12-01,EQIX,0.02,0.0,2006,4
2006-09-01,EQIX,0.0,0.0,2006,3
2006-06-01,EQIX,0.0,0.0,2006,2
2006-03-01,EQIX,0.1,0.03,2006,1
2005-12-01,EQIX,0.05,0.025,2005,4
2005-09-01,EQIX,0.0,0.0,2005,3
2005-06-01,EQIX,0.0,0.0,2005,2
2005-03-01,EQIX,0.0,0.0,2005,1
2004-12-01,EQIX,0.0,0.0,2004,4
2004-09-01,EQIX,0.0,0.0,2004,3
2004-06-01,EQIX,0.0,0.0,2004,2
2004-03-01,EQIX,0.0,0.0,2004,1
2003-12-01,EQIX,0.0,0.0,2003,4
2003-09-01,EQIX,0.0,0.0,2003,3
2003-06-01,EQIX,0.0,0.0,2003,2
2003-03-01,EQIX,0.0,0.0,2003,1
2002-12-01,EQIX,0.0,0.0,2002,4
2002-09-01,EQIX,0.0,0.0,2002,3
2002-06-01,EQIX,0.0,0.0,2002,2
2002-03-01,EQIX,0.0,0.0,2002,1
2001-12-01,EQIX,0.0,0.0,2001,4
2001-09-01,EQIX,0.0,0.0,2001,3
2001-06-01,EQIX,0.0,0.0,2001,2
2001-03-01,EQIX,0.0,0.0,2001,1
2000-12-01,EQIX,0.0,0.0,2000,4
2000-09-01,EQIX,0.0,0.0,2000,3
2000-06-01,EQIX,0.0,0.0,2000,2
2000-03-01,EQIX,0.0,0.0,2000,1
