date,ticker,eps,wallstreet_estimates,fiscal_year,fiscal_quarter
2014-10-29,FFIV,1.57,1.477,2014,4
2014-07-23,FFIV,1.39,1.348,2014,3
2014-04-23,FFIV,1.27,1.25,2014,2
2014-01-22,FFIV,1.22,1.193,2014,1
2013-10-23,FFIV,1.26,1.188,2013,4
2013-07-24,FFIV,1.12,1.083,2013,3
2013-04-24,FFIV,1.07,1.088,2013,2
2013-01-23,FFIV,1.14,1.15,2013,1
2012-10-24,FFIV,1.12,1.18,2012,4
2012-07-18,FFIV,1.14,1.14,2012,3
2012-04-18,FFIV,1.09,1.07,2012,2
2012-01-18,FFIV,1.03,1.01,2012,1
2011-10-25,FFIV,1.06,0.98,2011,4
2011-07-20,FFIV,0.97,0.91,2011,3
2011-04-20,FFIV,0.88,0.85,2011,2
2011-01-19,FFIV,0.88,0.83,2011,1
2010-10-26,FFIV,0.79,0.72,2010,4
2010-07-21,FFIV,0.66,0.59,2010,3
2010-03-01,FFIV,0.56,0.54,2010,2
2009-12-01,FFIV,0.52,0.49,2010,1
2009-09-01,FFIV,0.5,0.41,2009,4
2009-06-01,FFIV,0.4,0.37,2009,3
2009-03-01,FFIV,0.38,0.38,2009,2
2008-12-01,FFIV,0.4,0.49,2009,1
2008-09-01,FFIV,0.41,0.2,2008,4
2008-06-01,FFIV,0.37,0.22,2008,3
2008-03-01,FFIV,0.35,0.21,2008,2
2007-12-01,FFIV,0.33,0.21,2008,1
2007-09-01,FFIV,0.4,0.11,2007,4
2007-06-01,FFIV,0.255,0.25,2007,3
2007-03-01,FFIV,0.235,0.23,2007,2
2006-12-01,FFIV,0.265,0.225,2007,1
2006-09-01,FFIV,0.215,0.205,2006,4
2006-06-01,FFIV,0.205,0.205,2006,3
2006-03-01,FFIV,0.245,0.25,2006,2
2005-12-01,FFIV,0.235,0.225,2006,1
2005-09-01,FFIV,0.235,0.19,2005,4
2005-06-01,FFIV,0.175,0.17,2005,3
2005-03-01,FFIV,0.155,0.145,2005,2
2004-12-01,FFIV,0.13,0.105,2005,1
2004-09-01,FFIV,0.14,0.105,2004,4
2004-06-01,FFIV,0.1,0.09,2004,3
2004-03-01,FFIV,0.08,0.07,2004,2
2003-12-01,FFIV,0.055,0.035,2004,1
2003-09-01,FFIV,0.025,0.015,2003,4
2003-06-01,FFIV,0.025,0.02,2003,3
2003-03-01,FFIV,0.015,0.01,2003,2
2002-12-01,FFIV,0.01,0.0,2003,1
2002-09-01,FFIV,0.0,0.0,2002,4
2002-06-01,FFIV,0.0,0.0,2002,3
2002-03-01,FFIV,0.0,0.0,2002,2
2001-12-01,FFIV,0.0,0.0,2002,1
2001-09-01,FFIV,0.0,0.0,2001,4
2001-06-01,FFIV,0.0,0.0,2001,3
2001-03-01,FFIV,0.0,0.0,2001,2
2000-12-01,FFIV,0.0,0.0,2001,1
2000-09-01,FFIV,0.08,0.075,2000,4
2000-06-01,FFIV,0.085,0.083,2000,3
2000-03-01,FFIV,0.09,0.09,2000,2
1999-12-01,FFIV,0.09,0.0,2000,1
