date,ticker,eps,wallstreet_estimates,fiscal_year,fiscal_quarter
2015-01-15,INTC,0.74,0.664,2014,4
2014-10-14,INTC,0.66,0.65,2014,3
2014-07-15,INTC,0.55,0.523,2014,2
2014-04-15,INTC,0.38,0.369,2014,1
2014-01-16,INTC,0.51,0.52,2013,4
2013-10-15,INTC,0.58,0.531,2013,3
2013-07-17,INTC,0.39,0.395,2013,2
2013-04-16,INTC,0.4,0.416,2013,1
2013-01-17,INTC,0.51,0.45,2012,4
2012-10-16,INTC,0.58,0.5,2012,3
2012-07-17,INTC,0.54,0.52,2012,2
2012-04-17,INTC,0.56,0.5,2012,1
2012-01-19,INTC,0.64,0.61,2011,4
2011-10-18,INTC,0.69,0.61,2011,3
2011-07-20,INTC,0.59,0.51,2011,2
2011-04-19,INTC,0.58,0.46,2011,1
2011-01-13,INTC,0.56,0.53,2010,4
2010-09-01,INTC,0.52,0.5,2010,3
2010-06-01,INTC,0.51,0.43,2010,2
2010-03-01,INTC,0.43,0.38,2010,1
2009-12-01,INTC,0.55,0.45,2009,4
2009-09-01,INTC,0.33,0.27,2009,3
2009-06-01,INTC,0.18,0.08,2009,2
2009-03-01,INTC,0.11,0.02,2009,1
2008-12-01,INTC,0.15,0.04,2008,4
2008-09-01,INTC,0.15,0.34,2008,3
2008-06-01,INTC,0.28,0.25,2008,2
2008-03-01,INTC,0.29,0.25,2008,1
2007-12-01,INTC,0.41,0.4,2007,4
2007-09-01,INTC,0.3,0.3,2007,3
2007-06-01,INTC,0.19,0.19,2007,2
2007-03-01,INTC,0.22,0.22,2007,1
2006-12-01,INTC,0.25,0.24,2006,4
2006-09-01,INTC,0.21,0.17,2006,3
2006-06-01,INTC,0.15,0.13,2006,2
2006-03-01,INTC,0.23,0.22,2006,1
2005-12-01,INTC,0.4,0.43,2005,4
2005-09-01,INTC,0.38,0.36,2005,3
2005-06-01,INTC,0.33,0.33,2005,2
2005-03-01,INTC,0.34,0.31,2005,1
2004-12-01,INTC,0.33,0.31,2004,4
2004-09-01,INTC,0.264,0.27,2004,3
2004-06-01,INTC,0.27,0.27,2004,2
2004-03-01,INTC,0.277,0.27,2004,1
2003-12-01,INTC,0.27,0.25,2003,4
2003-09-01,INTC,0.25,0.23,2003,3
2003-06-01,INTC,0.14,0.13,2003,2
2003-03-01,INTC,0.14,0.12,2003,1
2002-12-01,INTC,0.16,0.14,2002,4
2002-09-01,INTC,0.11,0.13,2002,3
2002-06-01,INTC,0.1,0.11,2002,2
2002-03-01,INTC,0.15,0.15,2002,1
2001-12-01,INTC,0.15,0.11,2001,4
2001-09-01,INTC,0.1,0.1,2001,3
2001-06-01,INTC,0.12,0.11,2001,2
2001-03-01,INTC,0.16,0.15,2001,1
2000-12-01,INTC,0.38,0.38,2000,4
2000-09-01,INTC,0.41,0.38,2000,3
2000-06-01,INTC,0.5,0.49,2000,2
2000-03-01,INTC,0.44,0.348,2000,1
