date,ticker,eps,wallstreet_estimates,fiscal_year,fiscal_quarter
2014-05-06,MCHP,0.64,0.614,2014,4
2014-01-30,MCHP,0.61,0.601,2014,3
2013-10-30,MCHP,0.63,0.603,2014,2
2013-07-31,MCHP,0.57,0.54,2014,1
2013-05-02,MCHP,0.49,0.466,2013,4
2013-02-07,MCHP,0.41,0.394,2013,3
2012-11-08,MCHP,0.48,0.48,2013,2
2012-08-02,MCHP,0.48,0.44,2013,1
2012-05-03,MCHP,0.46,0.41,2012,4
2012-02-02,MCHP,0.42,0.37,2012,3
2011-11-03,MCHP,0.46,0.46,2012,2
2011-08-04,MCHP,0.55,0.54,2012,1
2011-05-05,MCHP,0.59,0.57,2011,4
2011-01-27,MCHP,0.58,0.57,2011,3
2010-11-04,MCHP,0.63,0.58,2011,2
2010-08-05,MCHP,0.58,0.51,2011,1
2010-05-05,MCHP,0.46,0.4,2010,4
2009-12-01,MCHP,0.38,0.37,2010,3
2009-09-01,MCHP,0.29,0.24,2010,2
2009-06-01,MCHP,0.19,0.15,2010,1
2009-03-01,MCHP,0.15,0.11,2009,4
2008-12-01,MCHP,0.22,0.37,2009,3
2008-09-01,MCHP,0.44,0.24,2009,2
2008-06-01,MCHP,0.43,0.15,2009,1
2008-03-01,MCHP,0.43,0.37,2008,4
2007-12-01,MCHP,0.39,0.345,2008,3
2007-09-01,MCHP,0.38,0.35,2008,2
2007-06-01,MCHP,0.39,0.36,2008,1
2007-03-01,MCHP,0.34,0.33,2007,4
2006-12-01,MCHP,0.33,0.33,2007,3
2006-09-01,MCHP,0.36,0.36,2007,2
2006-06-01,MCHP,0.35,0.35,2007,1
2006-03-01,MCHP,0.35,0.35,2006,4
2005-12-01,MCHP,0.33,0.32,2006,3
2005-09-01,MCHP,0.31,0.3,2006,2
2005-06-01,MCHP,0.29,0.28,2006,1
2005-03-01,MCHP,0.27,0.25,2005,4
2004-12-01,MCHP,0.25,0.25,2005,3
2004-09-01,MCHP,0.29,0.29,2005,2
2004-06-01,MCHP,0.27,0.26,2005,1
2004-03-01,MCHP,0.22,0.2,2004,4
2003-12-01,MCHP,0.19,0.19,2004,3
2003-09-01,MCHP,0.17,0.17,2004,2
2003-06-01,MCHP,0.16,0.15,2004,1
2003-03-01,MCHP,0.16,0.16,2003,4
2002-12-01,MCHP,0.18,0.17,2003,3
2002-09-01,MCHP,0.17,0.17,2003,2
2002-06-01,MCHP,0.15,0.15,2003,1
2002-03-01,MCHP,0.13,0.127,2002,4
2001-12-01,MCHP,0.11,0.113,2002,3
2001-09-01,MCHP,0.11,0.109,2002,2
2001-06-01,MCHP,0.11,0.107,2002,1
2001-03-01,MCHP,0.127,0.147,2001,4
2000-12-01,MCHP,0.227,0.217,2001,3
2000-09-01,MCHP,0.22,0.22,2001,2
2000-06-01,MCHP,0.196,0.182,2001,1
2000-03-01,MCHP,0.165,0.16699999999999998,2000,4
1999-12-01,MCHP,0.142,0.138,2000,3
1999-09-01,MCHP,0.129,0.12,2000,2
1999-06-01,MCHP,0.111,0.111,2000,1
