date,ticker,eps,wallstreet_estimates,fiscal_year,fiscal_quarter
2014-07-22,MSFT,0.55,0.598,2014,4
2014-04-24,MSFT,0.68,0.62,2014,3
2014-01-23,MSFT,0.78,0.6729999999999999,2014,2
2013-10-24,MSFT,0.62,0.5429999999999999,2014,1
2013-07-18,MSFT,0.66,0.742,2013,4
2013-04-18,MSFT,0.72,0.674,2013,3
2013-01-24,MSFT,0.76,0.75,2013,2
2012-10-18,MSFT,0.65,0.58,2013,1
2012-07-19,MSFT,0.67,0.62,2012,4
2012-04-19,MSFT,0.6,0.57,2012,3
2012-01-19,MSFT,0.78,0.76,2012,2
2011-10-20,MSFT,0.68,0.68,2012,1
2011-07-21,MSFT,0.69,0.58,2011,4
2011-04-28,MSFT,0.56,0.56,2011,3
2011-01-27,MSFT,0.77,0.68,2011,2
2010-09-01,MSFT,0.62,0.55,2011,1
2010-06-01,MSFT,0.51,0.51,2010,4
2010-03-01,MSFT,0.45,0.45,2010,3
2009-12-01,MSFT,0.74,0.74,2010,2
2009-09-01,MSFT,0.4,0.4,2010,1
2009-06-01,MSFT,0.36,0.37,2009,4
2009-03-01,MSFT,0.39,0.39,2009,3
2008-12-01,MSFT,0.47,0.74,2009,2
2008-09-01,MSFT,0.48,0.4,2009,1
2008-06-01,MSFT,0.48,0.47,2008,4
2008-03-01,MSFT,0.47,0.445,2008,3
2007-12-01,MSFT,0.5,0.46,2008,2
2007-09-01,MSFT,0.45,0.39,2008,1
2007-06-01,MSFT,0.31,0.31,2007,4
2007-03-01,MSFT,0.5,0.46,2007,3
2006-12-01,MSFT,0.26,0.24,2007,2
2006-09-01,MSFT,0.35,0.31,2007,1
2006-06-01,MSFT,0.31,0.3,2006,4
2006-03-01,MSFT,0.32,0.33,2006,3
2005-12-01,MSFT,0.36,0.37,2006,2
2005-09-01,MSFT,0.34,0.34,2006,1
2005-06-01,MSFT,0.33,0.31,2005,4
2005-03-01,MSFT,0.32,0.32,2005,3
2004-12-01,MSFT,0.35,0.33,2005,2
2004-09-01,MSFT,0.31,0.3,2005,1
2004-06-01,MSFT,0.28,0.28,2004,4
2004-03-01,MSFT,0.34,0.29,2004,3
2003-12-01,MSFT,0.34,0.3,2004,2
2003-09-01,MSFT,0.3,0.29,2004,1
2003-06-01,MSFT,0.23,0.24,2003,4
2003-03-01,MSFT,0.26,0.24,2003,3
2002-12-01,MSFT,0.265,0.23,2003,2
2002-09-01,MSFT,0.275,0.21,2003,1
2002-06-01,MSFT,0.21,0.21,2002,4
2002-03-01,MSFT,0.245,0.255,2002,3
2001-12-01,MSFT,0.245,0.21,2002,2
2001-09-01,MSFT,0.215,0.195,2002,1
2001-06-01,MSFT,0.215,0.21,2001,4
2001-03-01,MSFT,0.22,0.21,2001,3
2000-12-01,MSFT,0.235,0.233,2001,2
2000-09-01,MSFT,0.23,0.205,2001,1
2000-06-01,MSFT,0.22,0.215,2000,4
2000-03-01,MSFT,0.215,0.215,2000,3
1999-12-01,MSFT,0.22,0.223,2000,2
1999-09-01,MSFT,0.2,0.17,2000,1
