date,ticker,eps,wallstreet_estimates,fiscal_year,fiscal_quarter
2014-05-21,NTAP,0.84,0.795,2014,4
2014-02-12,NTAP,0.75,0.711,2014,3
2013-11-13,NTAP,0.66,0.629,2014,2
2013-08-14,NTAP,0.53,0.49,2014,1
2013-05-21,NTAP,0.69,0.6809999999999999,2013,4
2013-02-13,NTAP,0.67,0.563,2013,3
2012-11-14,NTAP,0.51,0.47,2013,2
2012-08-15,NTAP,0.42,0.38,2013,1
2012-05-23,NTAP,0.66,0.63,2012,4
2012-02-15,NTAP,0.58,0.58,2012,3
2011-11-16,NTAP,0.63,0.59,2012,2
2011-08-17,NTAP,0.55,0.55,2012,1
2011-05-25,NTAP,0.59,0.53,2011,4
2011-02-16,NTAP,0.56,0.5,2011,3
2010-11-17,NTAP,0.54,0.49,2011,2
2010-08-18,NTAP,0.51,0.46,2011,1
2010-05-26,NTAP,0.5,0.5,2010,4
2010-02-17,NTAP,0.4,0.4,2010,3
2009-10-01,NTAP,0.37,0.37,2010,2
2009-07-01,NTAP,0.22,0.22,2010,1
2009-04-01,NTAP,0.31,0.23,2009,4
2009-01-01,NTAP,0.28,0.28,2009,3
2008-10-01,NTAP,0.28,0.37,2009,2
2008-07-01,NTAP,0.28,0.22,2009,1
2008-04-01,NTAP,0.38,0.36,2008,4
2008-01-01,NTAP,0.38,0.34,2008,3
2007-10-01,NTAP,0.32,0.26,2008,2
2007-07-01,NTAP,0.2,0.19,2008,1
2007-04-01,NTAP,0.18,0.21,2007,4
2007-01-01,NTAP,0.19,0.19,2007,3
2006-10-01,NTAP,0.17,0.16,2007,2
2006-07-01,NTAP,0.14,0.16,2007,1
2006-04-01,NTAP,0.23,0.23,2006,4
2006-01-01,NTAP,0.22,0.21,2006,3
2005-10-01,NTAP,0.21,0.18,2006,2
2005-07-01,NTAP,0.16,0.15,2006,1
2005-04-01,NTAP,0.17,0.17,2005,4
2005-01-01,NTAP,0.16,0.16,2005,3
2004-10-01,NTAP,0.16,0.14,2005,2
2004-07-01,NTAP,0.13,0.12,2005,1
2004-04-01,NTAP,0.12,0.12,2004,4
2004-01-01,NTAP,0.11,0.1,2004,3
2003-10-01,NTAP,0.09,0.09,2004,2
2003-07-01,NTAP,0.08,0.07,2004,1
2003-04-01,NTAP,0.07,0.07,2003,4
2003-01-01,NTAP,0.06,0.06,2003,3
2002-10-01,NTAP,0.05,0.05,2003,2
2002-07-01,NTAP,0.05,0.04,2003,1
2002-04-01,NTAP,0.04,0.04,2002,4
2002-01-01,NTAP,0.04,0.02,2002,3
2001-10-01,NTAP,0.02,0.01,2002,2
2001-07-01,NTAP,0.01,0.01,2002,1
2001-04-01,NTAP,0.02,0.02,2001,4
2001-01-01,NTAP,0.11,0.1,2001,3
2000-10-01,NTAP,0.1,0.1,2001,2
2000-07-01,NTAP,0.09,0.08,2001,1
2000-04-01,NTAP,0.07,0.06,2000,4
2000-01-01,NTAP,0.06,0.05,2000,3
1999-10-01,NTAP,0.05,0.05,2000,2
1999-07-01,NTAP,0.04,0.04,2000,1
