date,ticker,eps,wallstreet_estimates,fiscal_year,fiscal_quarter
2014-02-12,NVDA,0.24,0.183,2014,4
2013-11-07,NVDA,0.2,0.2,2014,3
2013-08-08,NVDA,0.16,0.125,2014,2
2013-05-09,NVDA,0.13,0.1,2014,1
2013-02-13,NVDA,0.28,0.235,2013,4
2012-11-08,NVDA,0.39,0.3,2013,3
2012-08-09,NVDA,0.19,0.14,2013,2
2012-05-11,NVDA,0.1,0.1,2013,1
2012-02-15,NVDA,0.19,0.19,2012,4
2011-10-01,NVDA,0.29,0.26,2012,3
2011-07-01,NVDA,0.25,0.25,2012,2
2011-04-01,NVDA,0.22,0.19,2012,1
2011-01-01,NVDA,0.23,0.21,2011,4
2010-10-01,NVDA,0.15,0.14,2011,3
2010-07-01,NVDA,0.03,0.11,2011,2
2010-04-01,NVDA,0.29,0.21,2011,1
2010-01-01,NVDA,0.23,0.23,2010,4
2009-10-01,NVDA,0.13,0.19,2010,3
2009-07-01,NVDA,0.02,0.07,2010,2
2009-04-01,NVDA,-0.13,-0.09,2010,1
2009-01-01,NVDA,-0.27,0.0,2009,4
2008-10-01,NVDA,0.2,0.12,2009,3
2008-07-01,NVDA,0.13,0.15,2009,2
2008-04-01,NVDA,0.36,0.32,2009,1
2008-01-01,NVDA,0.49,0.41,2008,4
2007-10-01,NVDA,0.44,0.32,2008,3
2007-07-01,NVDA,0.34,0.227,2008,2
2007-04-01,NVDA,0.22,0.207,2008,1
2007-01-01,NVDA,0.233,0.233,2007,4
2006-10-01,NVDA,0.207,0.2,2007,3
2006-07-01,NVDA,0.147,0.16,2007,2
2006-04-01,NVDA,0.153,0.153,2007,1
2006-01-01,NVDA,0.177,0.163,2006,4
2005-10-01,NVDA,0.12,0.12,2006,3
2005-07-01,NVDA,0.13699999999999998,0.113,2006,2
2005-04-01,NVDA,0.12,0.093,2006,1
2005-01-01,NVDA,0.09,0.08,2005,4
2004-10-01,NVDA,0.05,0.03,2005,3
2004-07-01,NVDA,0.01,0.05,2005,2
2004-04-01,NVDA,0.04,0.033,2005,1
2004-01-01,NVDA,0.047,0.037000000000000005,2004,4
2003-10-01,NVDA,0.033,0.037000000000000005,2004,3
2003-07-01,NVDA,0.047,0.037000000000000005,2004,2
2003-04-01,NVDA,0.04,0.033,2004,1
2003-01-01,NVDA,0.047,0.02,2003,4
2002-10-01,NVDA,0.02,0.028,2003,3
2002-07-01,NVDA,0.04,0.043,2003,2
2002-04-01,NVDA,0.157,0.153,2003,1
2002-01-01,NVDA,0.14300000000000002,0.113,2002,4
2001-10-01,NVDA,0.093,0.077,2002,3
2001-07-01,NVDA,0.073,0.068,2002,2
2001-04-01,NVDA,0.067,0.067,2002,1
2001-01-01,NVDA,0.063,0.062,2001,4
2000-10-01,NVDA,0.058,0.053,2001,3
2000-07-01,NVDA,0.047,0.042,2001,2
2000-04-01,NVDA,0.04,0.031,2001,1
2000-01-01,NVDA,0.033,0.03,2000,4
1999-10-01,NVDA,0.026,0.0,2000,3
1999-07-01,NVDA,0.017,0.0,2000,2
1999-04-01,NVDA,0.015,0.0,2000,1
