date,ticker,eps,wallstreet_estimates,fiscal_year,fiscal_quarter
2014-11-06,SWKS,1.12,1.071,2014,4
2014-07-17,SWKS,0.83,0.8009999999999999,2014,3
2014-04-22,SWKS,0.62,0.59,2014,2
2014-01-16,SWKS,0.67,0.66,2014,1
2013-10-30,SWKS,0.64,0.622,2013,4
2013-07-18,SWKS,0.54,0.532,2013,3
2013-04-25,SWKS,0.48,0.47,2013,2
2013-01-30,SWKS,0.54,0.54,2013,1
2012-11-01,SWKS,0.53,0.52,2012,4
2012-07-18,SWKS,0.45,0.44,2012,3
2012-04-26,SWKS,0.42,0.4,2012,2
2012-01-19,SWKS,0.51,0.5,2012,1
2011-11-03,SWKS,0.54,0.53,2011,4
2011-07-21,SWKS,0.49,0.46,2011,3
2011-04-28,SWKS,0.41,0.39,2011,2
2011-01-20,SWKS,0.45,0.44,2011,1
2010-11-04,SWKS,0.43,0.4,2010,4
2010-07-22,SWKS,0.32,0.3,2010,3
2010-04-29,SWKS,0.24,0.23,2010,2
2010-01-20,SWKS,0.27,0.25,2010,1
2009-11-05,SWKS,0.24,0.22,2009,4
2009-06-01,SWKS,0.16,0.14,2009,3
2009-03-01,SWKS,0.12,0.1,2009,2
2008-12-01,SWKS,0.17,0.25,2009,1
2008-09-01,SWKS,0.21,0.2,2008,4
2008-06-01,SWKS,0.18,0.17,2008,3
2008-03-01,SWKS,0.16,0.15,2008,2
2007-12-01,SWKS,0.17,0.16,2008,1
2007-09-01,SWKS,0.14,0.13,2007,4
2007-06-01,SWKS,0.11,0.09,2007,3
2007-03-01,SWKS,0.1,0.1,2007,2
2006-12-01,SWKS,0.13,0.13,2007,1
2006-09-01,SWKS,0.07,0.05,2006,4
2006-06-01,SWKS,0.05,0.05,2006,3
2006-03-01,SWKS,0.03,0.02,2006,2
2005-12-01,SWKS,0.07,0.07,2006,1
2005-09-01,SWKS,0.04,0.03,2005,4
2005-06-01,SWKS,0.06,0.05,2005,3
2005-03-01,SWKS,0.04,0.04,2005,2
2004-12-01,SWKS,0.13,0.13,2005,1
2004-09-01,SWKS,0.12,0.11,2004,4
2004-06-01,SWKS,0.1,0.07,2004,3
2004-03-01,SWKS,0.05,0.04,2004,2
2003-12-01,SWKS,0.04,0.01,2004,1
2002-09-01,SWKS,0.0,0.0,2002,4
2002-06-01,SWKS,0.0,0.0,2002,3
2002-03-01,SWKS,0.0,0.0,2002,2
