date,ticker,eps,wallstreet_estimates,fiscal_year,fiscal_quarter
2015-01-27,YHOO,0.3,0.297,2014,4
2014-10-21,YHOO,0.52,0.309,2014,3
2014-07-15,YHOO,0.37,0.386,2014,2
2014-04-15,YHOO,0.38,0.373,2014,1
2014-01-28,YHOO,0.46,0.377,2013,4
2013-10-15,YHOO,0.34,0.327,2013,3
2013-07-16,YHOO,0.35,0.309,2013,2
2013-04-16,YHOO,0.38,0.246,2013,1
2013-01-28,YHOO,0.32,0.28,2012,4
2012-10-22,YHOO,0.35,0.25,2012,3
2012-07-17,YHOO,0.27,0.22,2012,2
2012-04-17,YHOO,0.24,0.17,2012,1
2012-01-24,YHOO,0.25,0.24,2011,4
2011-10-18,YHOO,0.21,0.17,2011,3
2011-07-19,YHOO,0.19,0.18,2011,2
2011-04-19,YHOO,0.19,0.16,2011,1
2011-01-25,YHOO,0.26,0.22,2010,4
2010-10-19,YHOO,0.16,0.15,2010,3
2010-07-20,YHOO,0.16,0.14,2010,2
2010-04-20,YHOO,0.16,0.09,2010,1
2010-01-26,YHOO,0.14,0.11,2009,4
2009-10-20,YHOO,0.1,0.07,2009,3
2009-06-01,YHOO,0.1,0.08,2009,2
2009-03-01,YHOO,0.09,0.08,2009,1
2008-12-01,YHOO,0.21,0.125,2008,4
2008-09-01,YHOO,0.15,0.08,2008,3
2008-06-01,YHOO,0.16,0.1,2008,2
2008-03-01,YHOO,0.18,0.09,2008,1
2007-12-01,YHOO,0.13,0.11,2007,4
2007-09-01,YHOO,0.11,0.08,2007,3
2007-06-01,YHOO,0.11,0.11,2007,2
2007-03-01,YHOO,0.1,0.11,2007,1
2006-12-01,YHOO,0.16,0.13,2006,4
2006-09-01,YHOO,0.11,0.11,2006,3
2006-06-01,YHOO,0.16,0.155,2006,2
2006-03-01,YHOO,0.17,0.16,2006,1
2005-12-01,YHOO,0.16,0.17,2005,4
2005-09-01,YHOO,0.16,0.14,2005,3
2005-06-01,YHOO,0.13,0.13,2005,2
2005-03-01,YHOO,0.13,0.11,2005,1
2004-12-01,YHOO,0.13,0.11,2004,4
2004-09-01,YHOO,0.09,0.09,2004,3
2004-06-01,YHOO,0.08,0.08,2004,2
2004-03-01,YHOO,0.065,0.053,2004,1
2003-12-01,YHOO,0.055,0.05,2003,4
2003-09-01,YHOO,0.05,0.045,2003,3
2003-06-01,YHOO,0.04,0.045,2003,2
2003-03-01,YHOO,0.04,0.03,2003,1
2002-12-01,YHOO,0.04,0.03,2002,4
2002-09-01,YHOO,0.025,0.018000000000000002,2002,3
2002-06-01,YHOO,0.015,0.01,2002,2
2002-03-01,YHOO,0.01,0.008,2002,1
2001-12-01,YHOO,0.015,0.005,2001,4
2001-09-01,YHOO,0.005,0.005,2001,3
2001-06-01,YHOO,0.005,0.005,2001,2
2001-03-01,YHOO,0.005,0.0,2001,1
2000-12-01,YHOO,0.065,0.07,2000,4
2000-09-01,YHOO,0.065,0.06,2000,3
2000-06-01,YHOO,0.055,0.0,2000,2
2000-03-01,YHOO,0.05,0.0,2000,1
